             channel           mass           mean     sqrt(mean)       full_acc          width      final_acc  final_acc_err       trig_eff   raw_trig_err raw_trig_sqerr             bg         bg_err         dt_obs     ul_acc_sig    ul_orig_sig          ul_mu          ul_br          ul_u2     comb_sigma    high1_ul_mu    high1_ul_br    high1_ul_u2     low1_ul_mu     low1_ul_br     low1_ul_u2    high2_ul_mu    high2_ul_br    high2_ul_u2     low2_ul_mu     low2_ul_br     low2_ul_u2    high3_ul_mu    high3_ul_br    high3_ul_u2     low3_ul_mu     low3_ul_br     low3_ul_u2       dt_ul_mu       dt_ul_br       dt_ul_u2       dt_ll_mu       dt_ll_br       dt_ll_u2       err_trig       err_scat        err_muv       err_flux     err_hscale       err_hval       err_k3pi     err_hshape
  mc.p5.hnu.260.nodk            260        0.06760        0.26000        0.28931        0.00390        0.19788        0.00048        0.90485        0.01361      832.18670     1918.16256      109.47558     1780.00000    9.79961e+02    4.95241e+03    1.93911e+02    1.63945e-05    5.62689e-06    1.17911e+02    3.12737e+02    2.64409e-05    9.07501e-06    1.08381e+02    9.16322e-06    3.14499e-06    4.30555e+02    3.64020e-05    1.24938e-05    6.85366e+01    5.79454e-06    1.98879e-06    5.49376e+02    4.64479e-05    1.59418e-05    4.85902e+01    4.10814e-06    1.40999e-06    9.93215e+01    8.39731e-06    2.88211e-06    0.00000e+00    0.00000e+00    0.00000e+00    1.23978e+03    8.18901e+03    3.67935e+02    9.19837e+01    4.11065e+02    8.51350e+02    9.80861e-04    8.33776e+02
  mc.p5.hnu.261.nodk            261        0.06812        0.26100        0.29015        0.00390        0.19902        0.00048        0.89818        0.01380      873.31963     1922.82935      106.16216     1812.00000    9.45816e+02    4.75248e+03    1.88232e+02    1.58233e-05    5.42500e-06    1.14862e+02    3.04057e+02    2.55599e-05    8.76319e-06    1.05222e+02    8.84526e-06    3.03260e-06    4.19882e+02    3.52964e-05    1.21014e-05    6.68018e+01    5.61553e-06    1.92528e-06    5.35703e+02    4.50326e-05    1.54394e-05    4.73378e+01    3.97934e-06    1.36432e-06    1.07673e+02    9.05125e-06    3.10322e-06    0.00000e+00    0.00000e+00    0.00000e+00    1.30819e+03    7.28271e+03    3.69727e+02    9.24318e+01    4.71939e+02    8.69894e+02    1.56053e-03    8.75505e+02
  mc.p5.hnu.262.nodk            262        0.06864        0.26200        0.29038        0.00390        0.19948        0.00048        0.90698        0.01318      799.70245     1945.75594      106.28083     1794.00000    9.45699e+02    4.74079e+03    1.88649e+02    1.58213e-05    5.41888e-06    1.15071e+02    3.04474e+02    2.55351e-05    8.74589e-06    1.05554e+02    8.85238e-06    3.03199e-06    4.20299e+02    3.52489e-05    1.20729e-05    6.68105e+01    5.60314e-06    1.91911e-06    5.36118e+02    4.49622e-05    1.53998e-05    4.73908e+01    3.97448e-06    1.36128e-06    9.01524e+01    7.56074e-06    2.58959e-06    0.00000e+00    0.00000e+00    0.00000e+00    1.16578e+03    7.45742e+03    3.78597e+02    9.46492e+01    4.58706e+02    8.74592e+02    9.46662e-04    8.65870e+02
  mc.p5.hnu.263.nodk            263        0.06917        0.26300        0.29018        0.00390        0.20001        0.00048        0.90401        0.01318      791.65984     1929.89539      103.83653     1851.00000    9.23427e+02    4.61698e+03    1.84692e+02    1.54487e-05    5.28631e-06    1.12747e+02    2.98519e+02    2.49699e-05    8.54431e-06    1.03668e+02    8.67142e-06    2.96723e-06    4.12345e+02    3.44909e-05    1.18023e-05    6.54948e+01    5.47836e-06    1.87461e-06    5.26169e+02    4.40118e-05    1.50602e-05    4.64037e+01    3.88148e-06    1.32818e-06    1.22260e+02    1.02265e-05    3.49937e-06    0.00000e+00    0.00000e+00    0.00000e+00    1.16354e+03    7.33634e+03    3.72450e+02    9.31124e+01    3.39741e+02    7.86642e+02    3.42374e-04    6.90200e+02
  mc.p5.hnu.264.nodk            264        0.06970        0.26400        0.29036        0.00390        0.19967        0.00048        0.89947        0.01351      834.49850     1923.17938      104.02916     1876.00000    9.29779e+02    4.65648e+03    1.85653e+02    1.55550e-05    5.31806e-06    1.12895e+02    2.99481e+02    2.50921e-05    8.57870e-06    1.03738e+02    8.69171e-06    2.97159e-06    4.12298e+02    3.45445e-05    1.18104e-05    6.55833e+01    5.49491e-06    1.87865e-06    5.26121e+02    4.40812e-05    1.50708e-05    4.64844e+01    3.89470e-06    1.33155e-06    1.44224e+02    1.20838e-05    4.13132e-06    0.00000e+00    0.00000e+00    0.00000e+00    1.24604e+03    7.23935e+03    3.69862e+02    9.24655e+01    3.40104e+02    7.95719e+02    1.69073e-04    7.38522e+02
  mc.p5.hnu.265.nodk            265        0.07023        0.26500        0.29085        0.00390        0.20144        0.00048        0.90123        0.01341      850.55184     1959.71241      106.38712     1918.00000    9.38038e+02    4.65674e+03    1.88955e+02    1.56931e-05    5.36103e-06    1.15230e+02    3.04781e+02    2.53127e-05    8.64723e-06    1.05799e+02    8.78682e-06    3.00172e-06    4.21609e+02    3.50156e-05    1.19619e-05    6.69875e+01    5.56346e-06    1.90057e-06    5.37427e+02    4.46345e-05    1.52479e-05    4.75229e+01    3.94688e-06    1.34832e-06    1.52206e+02    1.26410e-05    4.31838e-06    0.00000e+00    0.00000e+00    0.00000e+00    1.26249e+03    7.51700e+03    3.84047e+02    9.60118e+01    3.77879e+02    8.32813e+02    4.56068e-04    8.47977e+02
  mc.p5.hnu.266.nodk            266        0.07076        0.26600        0.29111        0.00390        0.20194        0.00048        0.90844        0.01312      811.75265     1972.75091       99.58217     1920.00000    8.85164e+02    4.38333e+03    1.78749e+02    1.48086e-05    5.05518e-06    1.09038e+02    2.88576e+02    2.39073e-05    8.16120e-06    9.99800e+01    8.28291e-06    2.82752e-06    3.98399e+02    3.30057e-05    1.12671e-05    6.32629e+01    5.24106e-06    1.78913e-06    5.08218e+02    4.21037e-05    1.43729e-05    4.48612e+01    3.71656e-06    1.26872e-06    1.33973e+02    1.10991e-05    3.78888e-06    0.00000e+00    0.00000e+00    0.00000e+00    1.12624e+03    6.40353e+03    3.89175e+02    9.72937e+01    3.49737e+02    7.82239e+02    4.56068e-04    7.68393e+02
  mc.p5.hnu.267.nodk            267        0.07129        0.26700        0.29226        0.00390        0.20284        0.00048        0.91935        0.01243      731.72266     2001.12698       98.97371     1902.00000    8.80888e+02    4.34274e+03    1.78681e+02    1.47370e-05    5.02747e-06    1.08614e+02    2.87506e+02    2.37126e-05    8.08943e-06    9.96873e+01    8.22190e-06    2.80486e-06    3.97332e+02    3.27707e-05    1.11796e-05    6.29656e+01    5.19321e-06    1.77164e-06    5.06147e+02    4.17454e-05    1.42413e-05    4.47304e+01    3.68922e-06    1.25856e-06    1.04700e+02    8.63530e-06    2.94589e-06    0.00000e+00    0.00000e+00    0.00000e+00    9.76393e+02    6.58907e+03    4.00451e+02    1.00113e+02    3.14908e+02    7.36567e+02    9.51654e-04    6.78288e+02
  mc.p5.hnu.268.nodk            268        0.07182        0.26800        0.29234        0.00390        0.20449        0.00048        0.91651        0.01285      785.99779     2000.16769       97.87445     1896.00000    8.65510e+02    4.23248e+03    1.76990e+02    1.44797e-05    4.93682e-06    1.07608e+02    2.84812e+02    2.33007e-05    7.94431e-06    9.87386e+01    8.07791e-06    2.75414e-06    3.93641e+02    3.22041e-05    1.09799e-05    6.23651e+01    5.10215e-06    1.73956e-06    5.01456e+02    4.10246e-05    1.39872e-05    4.43038e+01    3.62454e-06    1.23577e-06    1.00700e+02    8.23838e-06    2.80885e-06    0.00000e+00    0.00000e+00    0.00000e+00    1.04243e+03    6.58276e+03    4.00067e+02    1.00017e+02    2.48360e+02    6.69275e+02    8.44192e-04    5.36501e+02
  mc.p5.hnu.269.nodk            269        0.07236        0.26900        0.29269        0.00390        0.20498        0.00048        0.90741        0.01340      867.10635     1993.80312       92.21857     1894.00000    8.19099e+02    3.99600e+03    1.67898e+02    1.37033e-05    4.66971e-06    1.02460e+02    2.71728e+02    2.21775e-05    7.55750e-06    9.40992e+01    7.68006e-06    2.61716e-06    3.74548e+02    3.05693e-05    1.04172e-05    5.93661e+01    4.84526e-06    1.65113e-06    4.78375e+02    3.90433e-05    1.33049e-05    4.21462e+01    3.43983e-06    1.17220e-06    9.55687e+01    7.79999e-06    2.65803e-06    0.00000e+00    0.00000e+00    0.00000e+00    1.14689e+03    5.19744e+03    3.97525e+02    9.93813e+01    2.93686e+02    7.31928e+02    4.56377e-04    6.37409e+02
