             channel           mass           mean     sqrt(mean)       full_acc          width      final_acc  final_acc_err       trig_eff       trig_err             bg         bg_err         dt_obs     ul_acc_sig    ul_orig_sig          ul_mu          ul_br          ul_u2    high1_ul_mu    high1_ul_br    high1_ul_u2     low1_ul_mu     low1_ul_br     low1_ul_u2    high2_ul_mu    high2_ul_br    high2_ul_u2     low2_ul_mu     low2_ul_br     low2_ul_u2       dt_ul_mu       dt_ul_br       dt_ul_u2       dt_ll_mu       dt_ll_br       dt_ll_u2       err_scat       err_trig        err_muv       err_flux     err_hscale       err_hval     err_hshape
  mc.p5.hnu.290.nodk            290        0.08410        0.29000        0.30186        0.00350        0.20988        0.00049        0.90960        0.01339     1990.41343       74.61549     1982.00000    6.80499e+02    3.24238e+03    6.80499e+02    1.13846e-05    3.90738e-06    1.09898e+03    1.83857e-05    6.31028e-06    3.80001e+02    6.35731e-06    2.18194e-06    1.51743e+03    2.53863e-05    8.71301e-06    2.40054e+02    4.01603e-06    1.37837e-06    6.43196e+02    1.07605e-05    3.69319e-06    0.00000e+00    0.00000e+00    0.00000e+00    1.81706e+03    8.58239e+02    3.96175e+02    9.90436e+01    5.00349e+02    1.04388e+03    8.52728e+02
  mc.p5.hnu.291.nodk            291        0.08468        0.29100        0.30181        0.00350        0.21005        0.00049        0.91288        0.01322     1984.58078       71.31157     1959.00000    6.56867e+02    3.12720e+03    6.56867e+02    1.09892e-05    3.77643e-06    1.06070e+03    1.77453e-05    6.09815e-06    3.67163e+02    6.14254e-06    2.11088e-06    1.46453e+03    2.45012e-05    8.41981e-06    2.32086e+02    3.88274e-06    1.33430e-06    5.47888e+02    9.16602e-06    3.14989e-06    0.00000e+00    0.00000e+00    0.00000e+00    1.56676e+03    8.26395e+02    3.93856e+02    9.84640e+01    3.90276e+02    1.05311e+03    7.56481e+02
  mc.p5.hnu.292.nodk            292        0.08526        0.29200        0.30285        0.00350        0.21177        0.00049        0.91344        0.01299     1980.80694       70.09848     1970.00000    6.42354e+02    3.03332e+03    6.42354e+02    1.07464e-05    3.69797e-06    1.03820e+03    1.73688e-05    5.97680e-06    3.59011e+02    6.00616e-06    2.06679e-06    1.43402e+03    2.39908e-05    8.25553e-06    2.26972e+02    3.79719e-06    1.30666e-06    5.96674e+02    9.98220e-06    3.43499e-06    0.00000e+00    0.00000e+00    0.00000e+00    1.56081e+03    7.93587e+02    3.92360e+02    9.80899e+01    3.71799e+02    1.02126e+03    6.75894e+02
  mc.p5.hnu.293.nodk            293        0.08585        0.29300        0.30354        0.00350        0.21325        0.00049        0.91466        0.01297     2003.76325       70.93121     1921.00000    6.44568e+02    3.02260e+03    6.44568e+02    1.07835e-05    3.71605e-06    1.04235e+03    1.74382e-05    6.00932e-06    3.59889e+02    6.02084e-06    2.07482e-06    1.44012e+03    2.40929e-05    8.30258e-06    2.28485e+02    3.82249e-06    1.31726e-06    3.64455e+02    6.09724e-06    2.10115e-06    0.00000e+00    0.00000e+00    0.00000e+00    1.39050e+03    8.06777e+02    4.01507e+02    1.00377e+02    4.39278e+02    1.10621e+03    7.86590e+02
  mc.p5.hnu.294.nodk            294        0.08644        0.29400        0.30322        0.00350        0.21342        0.00049        0.90403        0.01387     1990.33831       71.61690     1899.00000    6.49897e+02    3.04515e+03    6.49897e+02    1.08726e-05    3.75252e-06    1.04734e+03    1.75218e-05    6.04737e-06    3.61580e+02    6.04913e-06    2.08777e-06    1.44951e+03    2.42499e-05    8.36949e-06    2.29041e+02    3.83179e-06    1.32248e-06    3.48411e+02    5.82882e-06    2.01173e-06    0.00000e+00    0.00000e+00    0.00000e+00    1.37193e+03    9.31881e+02    3.96145e+02    9.90362e+01    4.38267e+02    1.10854e+03    7.83184e+02
  mc.p5.hnu.295.nodk            295        0.08702        0.29500        0.30279        0.00350        0.21431        0.00049        0.89683        0.01454     1972.07187       70.35719     1921.00000    6.39429e+02    2.98360e+03    6.39429e+02    1.06975e-05    3.69808e-06    1.03057e+03    1.72412e-05    5.96022e-06    3.55224e+02    5.94280e-06    2.05440e-06    1.42168e+03    2.37844e-05    8.22217e-06    2.24788e+02    3.76064e-06    1.30004e-06    4.42359e+02    7.40054e-06    2.55834e-06    0.00000e+00    0.00000e+00    0.00000e+00    1.15153e+03    1.02248e+03    3.88907e+02    9.72267e+01    4.14835e+02    1.14346e+03    7.31698e+02
  mc.p5.hnu.296.nodk            296        0.08762        0.29600        0.30406        0.00330        0.20760        0.00049        0.89224        0.01547     1869.94504       69.98770     1776.00000    6.48462e+02    3.12357e+03    6.48462e+02    1.08486e-05    3.75677e-06    1.05227e+03    1.76043e-05    6.09621e-06    3.62972e+02    6.07242e-06    2.10283e-06    1.45121e+03    2.42784e-05    8.40739e-06    2.29652e+02    3.84202e-06    1.33046e-06    3.38681e+02    5.66604e-06    1.96210e-06    0.00000e+00    0.00000e+00    0.00000e+00    1.03535e+03    1.05135e+03    3.49669e+02    8.74174e+01    3.45850e+02    1.25105e+03    7.77593e+02
  mc.p5.hnu.297.nodk            297        0.08821        0.29700        0.30413        0.00330        0.20819        0.00049        0.88866        0.01547     1878.68716       71.95089     1765.00000    6.61479e+02    3.17723e+03    6.61479e+02    1.10664e-05    3.83916e-06    1.06891e+03    1.78826e-05    6.20386e-06    3.69538e+02    6.18228e-06    2.14476e-06    1.47635e+03    2.46989e-05    8.56856e-06    2.33523e+02    3.90677e-06    1.35534e-06    3.10610e+02    5.19642e-06    1.80275e-06    0.00000e+00    0.00000e+00    0.00000e+00    1.04505e+03    1.06910e+03    3.52947e+02    8.82366e+01    4.23364e+02    1.33141e+03    8.66824e+02
  mc.p5.hnu.298.nodk            298        0.08880        0.29800        0.30498        0.00330        0.20991        0.00050        0.88121        0.01611     1858.42476       71.66667     1795.00000    6.54476e+02    3.11793e+03    6.54476e+02    1.09492e-05    3.80578e-06    1.05861e+03    1.77103e-05    6.15584e-06    3.64679e+02    6.10098e-06    2.12061e-06    1.45793e+03    2.43907e-05    8.47785e-06    2.31172e+02    3.86745e-06    1.34427e-06    4.18071e+02    6.99422e-06    2.43109e-06    0.00000e+00    0.00000e+00    0.00000e+00    9.43339e+02    1.15471e+03    3.45374e+02    8.63436e+01    4.47377e+02    1.35774e+03    8.01229e+02
  mc.p5.hnu.299.nodk            299        0.08940        0.29900        0.30559        0.00330        0.20990        0.00049        0.88703        0.01552     1860.55024       69.18143     1832.00000    6.37439e+02    3.03682e+03    6.37439e+02    1.06642e-05    3.71418e-06    1.03206e+03    1.72661e-05    6.01355e-06    3.57247e+02    5.97665e-06    2.08158e-06    1.42185e+03    2.37872e-05    8.28473e-06    2.24973e+02    3.76374e-06    1.31086e-06    5.17071e+02    8.65046e-06    3.01283e-06    0.00000e+00    0.00000e+00    0.00000e+00    8.40402e+02    1.06011e+03    3.46165e+02    8.65412e+01    4.21116e+02    1.33139e+03    7.00343e+02
  mc.p5.hnu.300.nodk            300        0.09000        0.30000        0.30572        0.00330        0.21208        0.00049        0.88636        0.01546     1854.56519       67.17090     1839.00000    6.17394e+02    2.91108e+03    6.17394e+02    1.03288e-05    3.60500e-06    9.98514e+02    1.67049e-05    5.83038e-06    3.44341e+02    5.76073e-06    2.01062e-06    1.37961e+03    2.30805e-05    8.05563e-06    2.17372e+02    3.63658e-06    1.26925e-06    5.50282e+02    9.20608e-06    3.21313e-06    0.00000e+00    0.00000e+00    0.00000e+00    8.35004e+02    1.04592e+03    3.43941e+02    8.59853e+01    3.32420e+02    1.29335e+03    5.75310e+02
  mc.p5.hnu.301.nodk            301        0.09060        0.30100        0.30676        0.00330        0.21295        0.00049        0.89300        0.01505     1850.18052       64.45070     1812.00000    5.98985e+02    2.81282e+03    5.98985e+02    1.00209e-05    3.50526e-06    9.64438e+02    1.61348e-05    5.64390e-06    3.33202e+02    5.57438e-06    1.94990e-06    1.33462e+03    2.23278e-05    7.81020e-06    2.11043e+02    3.53069e-06    1.23502e-06    4.45062e+02    7.44578e-06    2.60451e-06    0.00000e+00    0.00000e+00    0.00000e+00    8.31060e+02    9.72203e+02    3.42317e+02    8.55792e+01    2.45521e+02    1.19316e+03    4.84056e+02
  mc.p5.hnu.302.nodk            302        0.09120        0.30200        0.30659        0.00330        0.21353        0.00049        0.88824        0.01493     1830.31777       61.06427     1814.00000    5.74245e+02    2.68925e+03    5.74245e+02    9.60696e-06    3.36828e-06    9.24637e+02    1.54689e-05    5.42355e-06    3.19576e+02    5.34642e-06    1.87450e-06    1.27975e+03    2.14100e-05    7.50652e-06    2.02518e+02    3.38807e-06    1.18789e-06    5.03566e+02    8.42453e-06    2.95371e-06    0.00000e+00    0.00000e+00    0.00000e+00    6.64656e+02    9.46569e+02    3.35006e+02    8.37516e+01    2.26683e+02    1.10426e+03    3.67924e+02
  mc.p5.hnu.303.nodk            303        0.09181        0.30300        0.30724        0.00330        0.21525        0.00051        0.88825        0.01479     1845.40603       61.70483     1835.00000    5.74010e+02    2.66667e+03    5.74010e+02    9.60304e-06    3.37508e-06    9.26273e+02    1.54963e-05    5.44632e-06    3.20907e+02    5.36869e-06    1.88688e-06    1.27851e+03    2.13891e-05    7.51742e-06    2.02773e+02    3.39234e-06    1.19227e-06    5.29080e+02    8.85137e-06    3.11090e-06    0.00000e+00    0.00000e+00    0.00000e+00    5.88237e+02    9.44377e+02    3.40552e+02    8.51381e+01    3.03522e+02    1.13691e+03    4.08751e+02
  mc.p5.hnu.304.nodk            304        0.09242        0.30400        0.30753        0.00330        0.21561        0.00049        0.89080        0.01461     1867.65311       62.26123     1845.00000    5.76509e+02    2.67382e+03    5.76509e+02    9.64485e-06    3.39836e-06    9.32835e+02    1.56061e-05    5.49880e-06    3.21516e+02    5.37888e-06    1.89525e-06    1.28914e+03    2.15670e-05    7.59915e-06    2.04039e+02    3.41352e-06    1.20275e-06    4.82868e+02    8.07825e-06    2.84637e-06    0.00000e+00    0.00000e+00    0.00000e+00    6.02506e+02    9.37959e+02    3.48813e+02    8.72032e+01    2.38431e+02    1.21608e+03    4.45472e+02
  mc.p5.hnu.305.nodk            305        0.09302        0.30500        0.30838        0.00330        0.21795        0.00050        0.88469        0.01483     1852.94977       63.58139     1864.00000    5.76406e+02    2.64470e+03    5.76406e+02    9.64312e-06    3.40673e-06    9.33496e+02    1.56171e-05    5.51724e-06    3.23775e+02    5.41666e-06    1.91361e-06    1.29058e+03    2.15910e-05    7.62770e-06    2.04148e+02    3.41533e-06    1.20657e-06    6.32049e+02    1.05740e-05    3.73560e-06    0.00000e+00    0.00000e+00    0.00000e+00    5.93057e+02    9.64782e+02    3.43342e+02    8.58356e+01    2.41685e+02    1.29755e+03    5.16339e+02
  mc.p5.hnu.306.nodk            306        0.09364        0.30600        0.30901        0.00330        0.21846        0.00050        0.88346        0.01485     1863.88397       63.40644     1872.00000    5.74826e+02    2.63131e+03    5.74826e+02    9.61669e-06    3.40675e-06    9.31093e+02    1.55769e-05    5.51819e-06    3.22704e+02    5.39876e-06    1.91253e-06    1.28734e+03    2.15368e-05    7.62950e-06    2.03403e+02    3.40287e-06    1.20548e-06    6.16454e+02    1.03131e-05    3.65346e-06    0.00000e+00    0.00000e+00    0.00000e+00    5.31118e+02    9.81462e+02    3.47406e+02    8.68516e+01    2.99874e+02    1.29854e+03    4.75129e+02
  mc.p5.hnu.307.nodk            307        0.09425        0.30700        0.30895        0.00310        0.21098        0.00049        0.88129        0.01551     1763.17755       62.87770     1766.00000    5.89964e+02    2.79634e+03    5.89964e+02    9.86994e-06    3.50648e-06    9.49343e+02    1.58823e-05    5.64247e-06    3.28377e+02    5.49365e-06    1.95172e-06    1.31349e+03    2.19743e-05    7.80679e-06    2.06956e+02    3.46231e-06    1.23005e-06    6.04339e+02    1.01104e-05    3.59192e-06    0.00000e+00    0.00000e+00    0.00000e+00    3.74668e+02    9.63121e+02    3.10880e+02    7.77199e+01    3.43518e+02    1.35762e+03    5.26082e+02
  mc.p5.hnu.308.nodk            308        0.09486        0.30800        0.30970        0.00310        0.21189        0.00049        0.87449        0.01591     1748.56931       62.58536     1790.00000    5.82922e+02    2.75105e+03    5.82922e+02    9.75214e-06    3.47495e-06    9.40760e+02    1.57387e-05    5.60811e-06    3.26092e+02    5.45543e-06    1.94392e-06    1.30336e+03    2.18049e-05    7.76966e-06    2.06123e+02    3.44838e-06    1.22875e-06    7.83312e+02    1.31046e-05    4.66952e-06    0.00000e+00    0.00000e+00    0.00000e+00    3.68485e+02    1.01248e+03    3.05749e+02    7.64374e+01    3.11354e+02    1.35847e+03    4.83947e+02
  mc.p5.hnu.309.nodk            309        0.09548        0.30900        0.30978        0.00310        0.21306        0.00049        0.88115        0.01567     1776.12728       64.90729     1762.00000    5.98135e+02    2.80741e+03    5.98135e+02    1.00066e-05    3.57667e-06    9.63411e+02    1.61176e-05    5.76091e-06    3.32455e+02    5.56188e-06    1.98798e-06    1.32866e+03    2.22282e-05    7.94502e-06    2.10448e+02    3.52074e-06    1.25842e-06    5.35406e+02    8.95721e-06    3.20157e-06    0.00000e+00    0.00000e+00    0.00000e+00    3.80192e+02    9.97786e+02    3.15463e+02    7.88657e+01    3.88159e+02    1.46407e+03    5.88426e+02
  mc.p5.hnu.310.nodk            310        0.09610        0.31000        0.31149        0.00310        0.21536        0.00049        0.90329        0.01444     1825.39465       65.62426     1751.00000    5.97483e+02    2.77428e+03    5.97483e+02    9.99574e-06    3.58425e-06    9.63486e+02    1.61189e-05    5.77987e-06    3.34300e+02    5.59275e-06    2.00544e-06    1.33416e+03    2.23201e-05    8.00351e-06    2.10251e+02    3.51745e-06    1.26128e-06    3.43513e+02    5.74688e-06    2.06070e-06    0.00000e+00    0.00000e+00    0.00000e+00    4.70802e+02    8.51153e+02    3.33207e+02    8.33016e+01    4.02657e+02    1.52158e+03    6.43840e+02
  mc.p5.hnu.311.nodk            311        0.09672        0.31100        0.31273        0.00310        0.21681        0.00049        0.90239        0.01424     1825.41012       64.44993     1758.00000    5.86006e+02    2.70281e+03    5.86006e+02    9.80373e-06    3.52712e-06    9.44950e+02    1.58088e-05    5.68757e-06    3.27924e+02    5.48608e-06    1.97375e-06    1.30853e+03    2.18914e-05    7.87596e-06    2.06244e+02    3.45041e-06    1.24137e-06    3.51532e+02    5.88103e-06    2.11584e-06    0.00000e+00    0.00000e+00    0.00000e+00    5.00904e+02    8.30145e+02    3.33212e+02    8.33031e+01    3.11122e+02    1.51261e+03    5.82495e+02
  mc.p5.hnu.312.nodk            312        0.09734        0.31200        0.31284        0.00310        0.21795        0.00049        0.89178        0.01491     1824.55758       66.56043     1789.00000    5.95515e+02    2.73236e+03    5.95515e+02    9.96282e-06    3.59674e-06    9.61777e+02    1.60903e-05    5.80885e-06    3.32771e+02    5.56717e-06    2.00984e-06    1.32802e+03    2.22174e-05    8.02084e-06    2.10256e+02    3.51753e-06    1.26989e-06    4.55255e+02    7.61630e-06    2.74961e-06    0.00000e+00    0.00000e+00    0.00000e+00    5.00436e+02    9.30292e+02    3.32901e+02    8.32253e+01    3.63530e+02    1.51927e+03    7.00638e+02
  mc.p5.hnu.313.nodk            313        0.09797        0.31300        0.31209        0.00310        0.21837        0.00050        0.89919        0.01453     1816.09544       64.87266     1792.00000    5.85467e+02    2.68106e+03    5.85467e+02    9.79471e-06    3.54871e-06    9.41836e+02    1.57567e-05    5.70879e-06    3.25933e+02    5.45278e-06    1.97559e-06    1.30281e+03    2.17957e-05    7.89679e-06    2.05437e+02    3.43690e-06    1.24522e-06    4.84763e+02    8.10995e-06    2.93831e-06    0.00000e+00    0.00000e+00    0.00000e+00    4.95805e+02    8.60844e+02    3.29820e+02    8.24551e+01    3.20042e+02    1.50286e+03    6.16634e+02
  mc.p5.hnu.314.nodk            314        0.09860        0.31400        0.31233        0.00310        0.21979        0.00050        0.88462        0.01538     1776.92113       63.66497     1790.00000    5.68463e+02    2.58636e+03    5.68463e+02    9.51023e-06    3.45842e-06    9.22581e+02    1.54345e-05    5.61281e-06    3.18334e+02    5.32564e-06    1.93668e-06    1.27209e+03    2.12817e-05    7.73916e-06    2.01416e+02    3.36963e-06    1.22538e-06    6.32838e+02    1.05872e-05    3.85007e-06    0.00000e+00    0.00000e+00    0.00000e+00    4.37164e+02    9.54929e+02    3.15745e+02    7.89362e+01    2.95737e+02    1.44453e+03    5.26187e+02
  mc.p5.hnu.315.nodk            315        0.09923        0.31500        0.31342        0.00310        0.22065        0.00050        0.87755        0.01583     1771.17002       66.01634     1876.00000    5.84046e+02    2.64696e+03    5.84046e+02    9.77094e-06    3.56686e-06    9.41289e+02    1.57475e-05    5.74860e-06    3.24445e+02    5.42788e-06    1.98144e-06    1.29851e+03    2.17237e-05    7.93019e-06    2.05321e+02    3.43497e-06    1.25393e-06    1.06494e+03    1.78162e-05    6.50377e-06    0.00000e+00    0.00000e+00    0.00000e+00    4.69503e+02    1.02020e+03    3.13704e+02    7.84261e+01    3.24846e+02    1.54762e+03    6.03861e+02
  mc.p5.hnu.316.nodk            316        0.09986        0.31600        0.31376        0.00310        0.22185        0.00050        0.87872        0.01612     1762.21826       65.60448     1885.00000    5.77660e+02    2.60379e+03    5.77660e+02    9.66410e-06    3.54186e-06    9.32986e+02    1.56086e-05    5.72050e-06    3.22196e+02    5.39026e-06    1.97551e-06    1.28373e+03    2.14764e-05    7.87104e-06    2.03287e+02    3.40094e-06    1.24643e-06    1.13796e+03    1.90378e-05    6.97728e-06    0.00000e+00    0.00000e+00    0.00000e+00    4.64769e+02    1.04481e+03    3.10541e+02    7.76353e+01    2.78557e+02    1.58830e+03    5.39330e+02
  mc.p5.hnu.317.nodk            317        0.10049        0.31700        0.31561        0.00310        0.22464        0.00051        0.88983        0.01547     1801.58213       68.22889     1858.00000    5.86880e+02    2.61250e+03    5.86880e+02    9.81835e-06    3.61316e-06    9.46668e+02    1.58375e-05    5.82822e-06    3.28530e+02    5.49621e-06    2.02261e-06    1.31093e+03    2.19315e-05    8.07083e-06    2.06743e+02    3.45876e-06    1.27283e-06    8.43230e+02    1.41070e-05    5.19140e-06    0.00000e+00    0.00000e+00    0.00000e+00    4.85765e+02    9.80929e+02    3.24570e+02    8.11425e+01    3.52034e+02    1.74083e+03    6.89911e+02
  mc.p5.hnu.318.nodk            318        0.10112        0.31800        0.31443        0.00290        0.21532        0.00049        0.89623        0.01599     1734.02301       66.82623     1743.00000    6.02564e+02    2.79842e+03    6.02564e+02    1.00807e-05    3.72545e-06    9.68623e+02    1.62048e-05    5.98868e-06    3.35687e+02    5.61595e-06    2.07544e-06    1.33935e+03    2.24069e-05    8.28075e-06    2.11620e+02    3.54035e-06    1.30838e-06    6.44801e+02    1.07874e-05    3.98659e-06    0.00000e+00    0.00000e+00    0.00000e+00    3.22239e+02    9.57034e+02    3.00684e+02    7.51709e+01    3.31495e+02    1.76469e+03    7.14434e+02
  mc.p5.hnu.319.nodk            319        0.10176        0.31900        0.31572        0.00290        0.21724        0.00049        0.90991        0.01472     1785.24257       68.95084     1741.00000    6.12303e+02    2.81851e+03    6.12303e+02    1.02437e-05    3.80226e-06    9.88977e+02    1.65453e-05    6.14132e-06    3.41544e+02    5.71395e-06    2.12091e-06    1.36097e+03    2.27687e-05    8.45133e-06    2.15527e+02    3.60572e-06    1.33837e-06    4.40853e+02    7.37535e-06    2.73759e-06    0.00000e+00    0.00000e+00    0.00000e+00    2.40745e+02    8.33740e+02    3.18709e+02    7.96773e+01    4.83391e+02    1.90910e+03    8.88860e+02
  mc.p5.hnu.320.nodk            320        0.10240        0.32000        0.31670        0.00290        0.21924        0.00050        0.93228        0.01308     1835.26386       70.03766     1664.00000    6.15890e+02    2.80924e+03    6.15890e+02    1.03037e-05    3.84185e-06    9.93690e+02    1.66242e-05    6.19851e-06    3.44111e+02    5.75689e-06    2.14652e-06    1.37146e+03    2.29442e-05    8.55501e-06    2.17349e+02    3.63620e-06    1.35580e-06    2.10218e+02    3.51689e-06    1.31131e-06    0.00000e+00    0.00000e+00    0.00000e+00    2.54425e+02    6.62707e+02    3.36819e+02    8.42048e+01    4.88218e+02    2.04948e+03    1.02942e+03
  mc.p5.hnu.321.nodk            321        0.10304        0.32100        0.31621        0.00290        0.21951        0.00050        0.93126        0.01303     1845.37305       68.55023     1708.00000    6.05638e+02    2.75899e+03    6.05638e+02    1.01322e-05    3.79555e-06    9.78414e+02    1.63686e-05    6.13175e-06    3.37968e+02    5.65412e-06    2.11805e-06    1.35116e+03    2.26046e-05    8.46777e-06    2.13362e+02    3.56949e-06    1.33714e-06    2.42468e+02    4.05643e-06    1.51955e-06    0.00000e+00    0.00000e+00    0.00000e+00    2.57236e+02    6.66871e+02    3.40540e+02    8.51350e+01    4.44788e+02    2.02425e+03    8.80309e+02
  mc.p5.hnu.322.nodk            322        0.10368        0.32200        0.31567        0.00290        0.21978        0.00050        0.93636        0.01279     1830.34297       66.33343     1713.00000    5.90379e+02    2.68618e+03    5.90379e+02    9.87689e-06    3.71777e-06    9.53595e+02    1.59534e-05    6.00503e-06    3.29487e+02    5.51222e-06    2.07486e-06    1.31679e+03    2.20295e-05    8.29214e-06    2.08001e+02    3.47980e-06    1.30983e-06    2.59702e+02    4.34474e-06    1.63541e-06    0.00000e+00    0.00000e+00    0.00000e+00    1.59535e+02    6.24633e+02    3.35016e+02    8.37539e+01    3.69647e+02    2.08294e+03    7.44597e+02
  mc.p5.hnu.323.nodk            323        0.10433        0.32300        0.31783        0.00290        0.22276        0.00051        0.93920        0.01200     1811.77492       61.07337     1752.00000    5.47524e+02    2.45793e+03    5.47524e+02    9.15993e-06    3.46506e-06    8.87943e+02    1.48551e-05    5.61943e-06    3.06769e+02    5.13216e-06    1.94142e-06    1.22382e+03    2.04741e-05    7.74504e-06    1.93098e+02    3.23047e-06    1.22204e-06    3.42169e+02    5.72440e-06    2.16545e-06    0.00000e+00    0.00000e+00    0.00000e+00    8.16929e+01    5.35975e+02    3.28253e+02    8.20632e+01    2.43952e+02    1.96384e+03    4.94176e+02
  mc.p5.hnu.324.nodk            324        0.10498        0.32400        0.31850        0.00290        0.22365        0.00050        0.93429        0.01226     1804.09642       62.74354     1737.00000    5.58100e+02    2.49545e+03    5.58100e+02    9.33687e-06    3.55012e-06    8.97118e+02    1.50085e-05    5.70665e-06    3.10980e+02    5.20261e-06    1.97817e-06    1.24063e+03    2.07554e-05    7.89174e-06    1.96092e+02    3.28056e-06    1.24736e-06    3.31441e+02    5.54491e-06    2.10832e-06    0.00000e+00    0.00000e+00    0.00000e+00    8.10019e+01    5.60829e+02    3.25476e+02    8.13691e+01    2.76498e+02    2.00905e+03    6.02529e+02
  mc.p5.hnu.325.nodk            325        0.10563        0.32500        0.31887        0.00290        0.22468        0.00050        0.91165        0.01372     1764.26484       63.47856     1737.00000    5.57302e+02    2.48046e+03    5.57302e+02    9.32352e-06    3.56382e-06    8.99241e+02    1.50441e-05    5.75045e-06    3.11332e+02    5.20851e-06    1.99090e-06    1.24117e+03    2.07644e-05    7.93698e-06    1.96594e+02    3.28896e-06    1.25717e-06    4.48948e+02    7.51078e-06    2.87092e-06    0.00000e+00    0.00000e+00    0.00000e+00    7.74646e+01    7.05497e+02    3.11263e+02    7.78158e+01    2.93387e+02    2.00603e+03    5.58070e+02
  mc.p5.hnu.326.nodk            326        0.10628        0.32600        0.31870        0.00290        0.22685        0.00050        0.91701        0.01361     1745.07239       60.25215     1707.00000    5.32584e+02    2.34769e+03    5.32584e+02    8.90999e-06    3.42435e-06    8.58010e+02    1.43543e-05    5.51675e-06    2.95725e+02    4.94740e-06    1.90142e-06    1.18341e+03    1.97982e-05    7.60898e-06    1.87126e+02    3.13058e-06    1.20317e-06    3.89215e+02    6.51146e-06    2.50253e-06    0.00000e+00    0.00000e+00    0.00000e+00    7.72485e+01    6.70529e+02    3.04528e+02    7.61319e+01    2.17361e+02    1.88049e+03    4.04029e+02
  mc.p5.hnu.327.nodk            327        0.10693        0.32700        0.31931        0.00290        0.22825        0.00050        0.89677        0.01518     1751.73687       68.58913     1670.00000    5.76861e+02    2.52727e+03    5.76861e+02    9.65073e-06    3.72992e-06    9.35377e+02    1.56486e-05    6.04806e-06    3.22945e+02    5.40279e-06    2.08813e-06    1.28945e+03    2.15722e-05    8.33748e-06    2.04263e+02    3.41726e-06    1.32074e-06    3.20833e+02    5.36745e-06    2.07447e-06    0.00000e+00    0.00000e+00    0.00000e+00    5.49538e+01    8.79777e+02    3.06858e+02    7.67146e+01    4.31242e+02    2.20253e+03    7.52397e+02
  mc.p5.hnu.328.nodk            328        0.10758        0.32800        0.31955        0.00270        0.21891        0.00050        0.87740        0.01728     1612.57994       70.41545     1548.00000    6.07442e+02    2.77488e+03    6.07442e+02    1.01624e-05    3.95046e-06    9.81241e+02    1.64159e-05    6.38143e-06    3.39316e+02    5.67667e-06    2.20672e-06    1.35502e+03    2.26691e-05    8.81227e-06    2.14308e+02    3.58531e-06    1.39373e-06    3.80189e+02    6.36047e-06    2.47254e-06    0.00000e+00    0.00000e+00    0.00000e+00    4.65696e+01    1.00829e+03    2.60041e+02    6.50104e+01    5.37073e+02    2.18005e+03    8.61304e+02
  mc.p5.hnu.329.nodk            329        0.10824        0.32900        0.31943        0.00270        0.21949        0.00050        0.87621        0.01743     1598.10055       69.43539     1564.00000    6.01010e+02    2.73824e+03    6.01010e+02    1.00547e-05    3.93201e-06    9.69262e+02    1.62155e-05    6.34124e-06    3.33460e+02    5.57870e-06    2.18161e-06    1.33749e+03    2.23759e-05    8.75033e-06    2.10817e+02    3.52691e-06    1.37924e-06    4.64368e+02    7.76876e-06    3.03806e-06    0.00000e+00    0.00000e+00    0.00000e+00    4.57371e+01    1.01102e+03    2.55393e+02    6.38481e+01    4.82910e+02    2.16654e+03    7.95833e+02
  mc.p5.hnu.330.nodk            330        0.10890        0.33000        0.32081        0.00270        0.22266        0.00050        0.87805        0.01738     1595.67148       67.85496     1592.00000    5.79692e+02    2.60347e+03    5.79692e+02    9.69809e-06    3.81593e-06    9.38215e+02    1.56961e-05    6.17597e-06    3.23114e+02    5.40562e-06    2.12696e-06    1.29672e+03    2.16938e-05    8.53592e-06    2.04888e+02    3.42773e-06    1.34871e-06    5.66302e+02    9.47408e-06    3.72778e-06    0.00000e+00    0.00000e+00    0.00000e+00    9.10968e+01    9.97032e+02    2.54617e+02    6.36542e+01    3.52416e+02    2.22522e+03    6.20258e+02
  mc.p5.hnu.331.nodk            331        0.10956        0.33100        0.32052        0.00270        0.22331        0.00050        0.87844        0.01679     1581.47694       66.02760     1609.00000    5.66670e+02    2.53756e+03    5.66670e+02    9.48025e-06    3.75392e-06    9.15181e+02    1.53107e-05    6.06263e-06    3.16486e+02    5.29473e-06    2.09657e-06    1.26367e+03    2.11408e-05    8.37118e-06    1.99821e+02    3.34295e-06    1.32372e-06    6.93403e+02    1.16004e-05    4.59346e-06    0.00000e+00    0.00000e+00    0.00000e+00    8.94833e+01    9.13932e+02    2.50107e+02    6.25267e+01    2.67951e+02    2.25131e+03    5.24338e+02
  mc.p5.hnu.332.nodk            332        0.11022        0.33200        0.32123        0.00270        0.22491        0.00050        0.89716        0.01530     1600.80782       63.46921     1610.00000    5.46250e+02    2.42877e+03    5.46250e+02    9.13862e-06    3.64234e-06    8.83388e+02    1.47788e-05    5.89034e-06    3.05073e+02    5.10378e-06    2.03419e-06    1.22051e+03    2.04189e-05    8.13826e-06    1.92687e+02    3.22359e-06    1.28481e-06    5.91192e+02    9.89048e-06    3.94201e-06    0.00000e+00    0.00000e+00    0.00000e+00    9.16842e+01    7.45588e+02    2.56259e+02    6.40646e+01    2.22609e+02    2.26744e+03    3.80700e+02
