             channel           mass           mean     sqrt(mean)       full_acc          width      final_acc  final_acc_err       trig_eff       trig_err             bg         bg_err         dt_obs     ul_acc_sig    ul_orig_sig          ul_mu          ul_br          ul_u2    high1_ul_mu    high1_ul_br    high1_ul_u2     low1_ul_mu     low1_ul_br     low1_ul_u2    high2_ul_mu    high2_ul_br    high2_ul_u2     low2_ul_mu     low2_ul_br     low2_ul_u2       dt_ul_mu       dt_ul_br       dt_ul_u2       dt_ll_mu       dt_ll_br       dt_ll_u2       err_scat       err_trig        err_muv       err_flux     err_hscale       err_hval     err_hshape
  mc.p5.hnu.260.nodk            260        0.06760        0.26000        0.28950        0.00390        0.19795        0.00048        0.90511        0.01343     1954.46425      111.66824     1810.00000    9.96230e+02    5.03269e+03    9.96230e+02    1.66667e-05    5.72031e-06    1.60661e+03    2.68782e-05    9.22510e-06    5.57457e+02    9.32610e-06    3.20089e-06    2.21698e+03    3.70895e-05    1.27298e-05    3.52826e+02    5.90269e-06    2.02591e-06    5.03219e+02    8.41872e-06    2.88946e-06    0.00000e+00    0.00000e+00    0.00000e+00    8.50190e+03    8.41399e+02    3.81993e+02    9.54983e+01    5.49040e+02    9.80186e+02    1.11978e+03
  mc.p5.hnu.261.nodk            261        0.06812        0.26100        0.29029        0.00390        0.19905        0.00048        0.89840        0.01365     1958.27596      108.20417     1843.00000    9.65295e+02    4.84949e+03    9.65295e+02    1.61491e-05    5.53673e-06    1.55724e+03    2.60523e-05    8.93202e-06    5.39538e+02    9.02633e-06    3.09468e-06    2.14918e+03    3.59552e-05    1.23272e-05    3.41217e+02    5.70847e-06    1.95715e-06    5.44433e+02    9.10823e-06    3.12275e-06    0.00000e+00    0.00000e+00    0.00000e+00    7.55370e+03    8.84943e+02    3.83484e+02    9.58711e+01    6.23344e+02    9.98746e+02    1.16806e+03
  mc.p5.hnu.262.nodk            262        0.06864        0.26200        0.29058        0.00390        0.19954        0.00048        0.90750        0.01298     1977.70053      107.70794     1822.00000    9.57682e+02    4.79935e+03    9.57682e+02    1.60218e-05    5.48754e-06    1.54818e+03    2.59006e-05    8.87109e-06    5.36959e+02    8.98318e-06    3.07679e-06    2.13361e+03    3.56948e-05    1.22256e-05    3.39075e+02    5.67264e-06    1.94291e-06    4.53743e+02    7.59100e-06    2.59996e-06    0.00000e+00    0.00000e+00    0.00000e+00    7.70429e+03    7.99902e+02    3.91130e+02    9.77825e+01    5.73771e+02    9.63022e+02    1.07110e+03
  mc.p5.hnu.263.nodk            263        0.06917        0.26300        0.29037        0.00390        0.20007        0.00048        0.90427        0.01302     1961.75458      105.48323     1876.00000    9.37470e+02    4.68574e+03    9.37470e+02    1.56836e-05    5.36670e-06    1.51643e+03    2.53694e-05    8.68102e-06    5.25331e+02    8.78865e-06    3.00734e-06    2.09032e+03    3.49706e-05    1.19664e-05    3.31614e+02    5.54782e-06    1.89838e-06    6.02940e+02    1.00870e-05    3.45163e-06    0.00000e+00    0.00000e+00    0.00000e+00    7.58056e+03    7.97880e+02    3.84848e+02    9.62120e+01    4.66584e+02    8.90912e+02    9.09719e+02
  mc.p5.hnu.264.nodk            264        0.06970        0.26400        0.29054        0.00390        0.19974        0.00048        0.90155        0.01325     1962.08708      106.05664     1901.00000    9.46716e+02    4.73966e+03    9.46716e+02    1.58383e-05    5.41493e-06    1.52660e+03    2.55395e-05    8.73167e-06    5.29114e+02    8.85194e-06    3.02637e-06    2.10142e+03    3.51562e-05    1.20195e-05    3.34545e+02    5.59684e-06    1.91350e-06    6.87451e+02    1.15009e-05    3.93201e-06    0.00000e+00    0.00000e+00    0.00000e+00    7.53523e+03    8.30969e+02    3.84979e+02    9.62446e+01    4.79467e+02    9.25384e+02    9.95740e+02
  mc.p5.hnu.265.nodk            265        0.07023        0.26500        0.29102        0.00390        0.20150        0.00048        0.90278        0.01321     1997.02939      108.30023     1943.00000    9.56879e+02    4.74875e+03    9.56879e+02    1.60083e-05    5.46871e-06    1.54162e+03    2.57908e-05    8.81057e-06    5.32961e+02    8.91630e-06    3.04595e-06    2.12634e+03    3.55731e-05    1.21524e-05    3.37548e+02    5.64708e-06    1.92914e-06    7.23970e+02    1.21118e-05    4.13760e-06    0.00000e+00    0.00000e+00    0.00000e+00    7.80600e+03    8.54343e+02    3.98813e+02    9.97032e+01    4.99191e+02    9.56721e+02    1.11416e+03
  mc.p5.hnu.266.nodk            266        0.07076        0.26600        0.29130        0.00390        0.20201        0.00048        0.90989        0.01292     2008.51286      101.41124     1945.00000    9.00972e+02    4.46010e+03    9.00972e+02    1.50730e-05    5.14546e-06    1.45455e+03    2.43342e-05    8.30692e-06    5.03492e+02    8.42329e-06    2.87545e-06    2.00813e+03    3.35954e-05    1.14684e-05    3.18405e+02    5.32683e-06    1.81841e-06    6.40132e+02    1.07092e-05    3.65580e-06    0.00000e+00    0.00000e+00    0.00000e+00    6.63780e+03    8.13545e+02    4.03412e+02    1.00853e+02    4.71236e+02    8.80714e+02    9.76677e+02
  mc.p5.hnu.267.nodk            267        0.07129        0.26700        0.29245        0.00390        0.20290        0.00048        0.92077        0.01222     2044.17808      101.99311     1930.00000    9.04263e+02    4.45659e+03    9.04263e+02    1.51281e-05    5.16087e-06    1.45538e+03    2.43481e-05    8.30625e-06    5.04492e+02    8.44002e-06    2.87927e-06    2.01144e+03    3.36508e-05    1.14798e-05    3.19826e+02    5.35061e-06    1.82534e-06    4.99766e+02    8.36096e-06    2.85230e-06    0.00000e+00    0.00000e+00    0.00000e+00    6.87563e+03    7.35713e+02    4.17866e+02    1.04467e+02    4.57104e+02    8.60379e+02    9.51436e+02
  mc.p5.hnu.268.nodk            268        0.07182        0.26800        0.29253        0.00390        0.20456        0.00048        0.91803        0.01262     2047.54518      101.16883     1925.00000    8.89199e+02    4.34679e+03    8.89199e+02    1.48761e-05    5.07194e-06    1.43586e+03    2.40215e-05    8.19006e-06    4.96827e+02    8.31178e-06    2.83387e-06    1.98252e+03    3.31670e-05    1.13082e-05    3.14176e+02    5.25609e-06    1.79205e-06    4.71873e+02    7.89431e-06    2.69154e-06    0.00000e+00    0.00000e+00    0.00000e+00    6.89830e+03    7.92572e+02    4.19244e+02    1.04811e+02    3.73085e+02    8.07390e+02    8.39731e+02
  mc.p5.hnu.269.nodk            269        0.07236        0.26900        0.29288        0.00390        0.20506        0.00048        0.90893        0.01319     2043.41899       95.78302     1922.00000    8.48340e+02    4.13708e+03    8.48340e+02    1.41925e-05    4.83642e-06    1.36930e+03    2.29081e-05    7.80644e-06    4.74051e+02    7.93075e-06    2.70259e-06    1.89026e+03    3.16236e-05    1.07765e-05    2.99721e+02    5.01425e-06    1.70872e-06    4.40603e+02    7.37118e-06    2.51190e-06    0.00000e+00    0.00000e+00    0.00000e+00    5.45934e+03    8.79649e+02    4.17556e+02    1.04389e+02    4.38395e+02    8.80354e+02    9.94705e+02
