             channel           mass           mean     sqrt(mean)       full_acc          width      final_acc  final_acc_err       trig_eff   raw_trig_err raw_trig_sqerr             bg         bg_err         dt_obs     ul_acc_sig    ul_orig_sig          ul_mu          ul_br          ul_u2         ses_br         ses_u2     comb_sigma        dt_pull    high1_ul_mu    high1_ul_br    high1_ul_u2     low1_ul_mu     low1_ul_br     low1_ul_u2    high2_ul_mu    high2_ul_br    high2_ul_u2     low2_ul_mu     low2_ul_br     low2_ul_u2    high3_ul_mu    high3_ul_br    high3_ul_u2     low3_ul_mu     low3_ul_br     low3_ul_u2       dt_ul_mu       dt_ul_br       dt_ul_u2       dt_ll_mu       dt_ll_br       dt_ll_u2       err_trig       err_scat        err_muv       err_flux     err_hscale       err_hval       err_k3pi     err_hshape
  mc.p5.hnu.262.nodk            262        0.06864        0.26200        0.29038        0.00390        0.20280        0.00048        0.90702        0.01304      826.20631     1998.87308      109.47363     1844.00000    1.93759e+02    9.55400e+02    1.93759e+02    1.59836e-05    5.47447e-06    8.24920e-08    2.82539e-08    1.18251e+02   -1.30970e+00    3.13590e+02    2.58687e-05    8.86016e-06    1.08521e+02    8.95214e-06    3.06616e-06    4.32412e+02    3.56705e-05    1.22173e-05    6.87362e+01    5.67019e-06    1.94207e-06    5.51231e+02    4.54721e-05    1.55744e-05    4.87784e+01    4.02383e-06    1.37818e-06    9.30667e+01    7.67726e-06    2.62950e-06    0.00000e+00    0.00000e+00    0.00000e+00    1.21205e+03    7.87014e+03    3.99549e+02    9.98873e+01    5.35292e+02    9.11084e+02    9.46662e-04    9.56474e+02
  mc.p5.hnu.263.nodk            263        0.06917        0.26300        0.29018        0.00390        0.20350        0.00048        0.90582        0.01294      798.68549     1977.70893      106.57266     1905.00000    1.89369e+02    9.30554e+02    1.89369e+02    1.55679e-05    5.32710e-06    8.22094e-08    2.81308e-08    1.15479e+02   -6.29628e-01    3.06199e+02    2.51724e-05    8.61363e-06    1.06152e+02    8.72672e-06    2.98615e-06    4.22020e+02    3.46940e-05    1.18717e-05    6.70215e+01    5.50979e-06    1.88537e-06    5.38843e+02    4.42980e-05    1.51581e-05    4.75981e+01    3.91301e-06    1.33897e-06    1.30337e+02    1.07149e-05    3.66649e-06    0.00000e+00    0.00000e+00    0.00000e+00    1.17553e+03    7.70436e+03    3.91133e+02    9.77833e+01    3.89163e+02    8.33156e+02    3.42374e-04    7.66608e+02
  mc.p5.hnu.264.nodk            264        0.06970        0.26400        0.29036        0.00390        0.20311        0.00048        0.89384        0.01360      891.96991     1962.45500      106.24300     1927.00000    1.89016e+02    9.30608e+02    1.89016e+02    1.55688e-05    5.32280e-06    8.23678e-08    2.81606e-08    1.15109e+02   -3.08013e-01    3.04839e+02    2.51089e-05    8.58445e-06    1.05753e+02    8.71066e-06    2.97807e-06    4.20664e+02    3.46492e-05    1.18462e-05    6.69202e+01    5.51207e-06    1.88451e-06    5.36483e+02    4.41890e-05    1.51077e-05    4.74594e+01    3.90913e-06    1.33649e-06    1.57061e+02    1.29368e-05    4.42293e-06    0.00000e+00    0.00000e+00    0.00000e+00    1.36560e+03    7.53805e+03    3.85123e+02    9.62807e+01    3.46645e+02    8.00587e+02    1.93666e-04    7.55286e+02
  mc.p5.hnu.265.nodk            265        0.07023        0.26500        0.29085        0.00390        0.20461        0.00048        0.90345        0.01313      855.10562     2012.57265      108.91780     1969.00000    1.93313e+02    9.44765e+02    1.93313e+02    1.58057e-05    5.39948e-06    8.17623e-08    2.79313e-08    1.17795e+02   -3.69902e-01    3.12140e+02    2.55213e-05    8.71849e-06    1.08026e+02    8.83249e-06    3.01732e-06    4.30966e+02    3.52367e-05    1.20374e-05    6.83300e+01    5.58681e-06    1.90855e-06    5.48780e+02    4.48695e-05    1.53282e-05    4.85804e+01    3.97205e-06    1.35692e-06    1.54860e+02    1.26617e-05    4.32544e-06    0.00000e+00    0.00000e+00    0.00000e+00    1.26745e+03    7.92799e+03    4.05045e+02    1.01261e+02    4.01414e+02    8.63363e+02    4.56068e-04    8.96568e+02
  mc.p5.hnu.266.nodk            266        0.07076        0.26600        0.29111        0.00390        0.20536        0.00048        0.90957        0.01283      818.55337     2027.90767      101.57401     1967.00000    1.81996e+02    8.86232e+02    1.81996e+02    1.48264e-05    5.06127e-06    8.14656e-08    2.78098e-08    1.11109e+02   -5.48180e-01    2.94829e+02    2.40184e-05    8.19913e-06    1.01852e+02    8.29744e-06    2.83248e-06    4.06651e+02    3.31281e-05    1.13089e-05    6.44782e+01    5.25276e-06    1.79313e-06    5.18470e+02    4.22375e-05    1.44186e-05    4.57387e+01    3.72613e-06    1.27198e-06    1.31461e+02    1.07096e-05    3.65591e-06    0.00000e+00    0.00000e+00    0.00000e+00    1.13624e+03    6.76661e+03    4.11241e+02    1.02810e+02    3.49737e+02    7.82239e+02    4.56068e-04    7.68393e+02
  mc.p5.hnu.267.nodk            267        0.07129        0.26700        0.29226        0.00390        0.20623        0.00048        0.91873        0.01237      760.16116     2047.17242      101.45548     1944.00000    1.82700e+02    8.85924e+02    1.82700e+02    1.48213e-05    5.05621e-06    8.11235e-08    2.76749e-08    1.11087e+02   -9.28751e-01    2.94528e+02    2.38931e-05    8.15103e-06    1.02179e+02    8.28909e-06    2.82779e-06    4.06351e+02    3.29646e-05    1.12457e-05    6.43972e+01    5.22412e-06    1.78219e-06    5.18170e+02    4.20357e-05    1.43403e-05    4.56911e+01    3.70662e-06    1.26449e-06    1.06168e+02    8.61275e-06    2.93820e-06    0.00000e+00    0.00000e+00    0.00000e+00    1.01984e+03    6.89579e+03    4.19091e+02    1.04773e+02    3.41893e+02    7.72139e+02    9.51654e-04    7.39689e+02
  mc.p5.hnu.268.nodk            268        0.07182        0.26800        0.29234        0.00390        0.20786        0.00049        0.91516        0.01274      818.58324     2054.52399      100.97673     1957.00000    1.81684e+02    8.74082e+02    1.81684e+02    1.46232e-05    4.98572e-06    8.04866e-08    2.74417e-08    1.10683e+02   -8.81107e-01    2.93513e+02    2.36239e-05    8.05449e-06    1.01442e+02    8.16473e-06    2.78374e-06    4.04333e+02    3.25434e-05    1.10956e-05    6.43536e+01    5.17960e-06    1.76597e-06    5.16155e+02    4.15436e-05    1.41641e-05    4.55772e+01    3.66836e-06    1.25071e-06    1.08539e+02    8.73595e-06    2.97849e-06    0.00000e+00    0.00000e+00    0.00000e+00    1.09737e+03    6.94540e+03    4.22107e+02    1.05527e+02    2.97982e+02    7.11603e+02    8.44192e-04    6.16312e+02
  mc.p5.hnu.269.nodk            269        0.07236        0.26900        0.29269        0.00390        0.20822        0.00049        0.90811        0.01317      877.02832     2042.78580       94.55598     1942.00000    1.71766e+02    8.24934e+02    1.71766e+02    1.38009e-05    4.70298e-06    8.03475e-08    2.73802e-08    1.04803e+02   -9.61671e-01    2.77592e+02    2.23038e-05    7.60054e-06    9.59532e+01    7.70959e-06    2.62722e-06    3.83417e+02    3.08066e-05    1.04981e-05    6.09034e+01    4.89343e-06    1.66755e-06    4.89241e+02    3.93093e-05    1.33955e-05    4.31343e+01    3.46573e-06    1.18103e-06    9.84075e+01    7.90679e-06    2.69442e-06    0.00000e+00    0.00000e+00    0.00000e+00    1.16548e+03    5.45596e+03    4.17297e+02    1.04324e+02    3.20670e+02    7.72661e+02    4.56377e-04    7.04440e+02
  mc.p5.hnu.270.nodk            270        0.07290        0.27000        0.29322        0.00390        0.20910        0.00049        0.90239        0.01366      947.99451     2034.29056       93.63635     1971.00000    1.70834e+02    8.16996e+02    1.70834e+02    1.36681e-05    4.65569e-06    8.00083e-08    2.72527e-08    1.03933e+02   -6.08956e-01    2.75662e+02    2.20552e-05    7.51254e-06    9.54530e+01    7.63702e-06    2.60135e-06    3.80486e+02    3.04420e-05    1.03693e-05    6.03374e+01    4.82749e-06    1.64436e-06    4.85309e+02    3.88287e-05    1.32260e-05    4.27566e+01    3.42088e-06    1.16523e-06    1.18716e+02    9.49825e-06    3.23533e-06    0.00000e+00    0.00000e+00    0.00000e+00    1.26865e+03    5.41067e+03    4.13834e+02    1.03458e+02    2.74026e+02    7.01616e+02    5.42033e-04    5.95515e+02
  mc.p5.hnu.271.nodk            271        0.07344        0.27100        0.29251        0.00390        0.20884        0.00049        0.91187        0.01292      883.43870     2097.04149       95.06794     1955.00000    1.73700e+02    8.31746e+02    1.73700e+02    1.39149e-05    4.73802e-06    8.01090e-08    2.72771e-08    1.05522e+02   -1.34608e+00    2.79522e+02    2.23923e-05    7.62457e-06    9.68451e+01    7.75816e-06    2.64165e-06    3.86353e+02    3.09503e-05    1.05386e-05    6.11439e+01    4.89817e-06    1.66783e-06    4.92168e+02    3.94271e-05    1.34249e-05    4.34288e+01    3.47903e-06    1.18461e-06    8.15838e+01    6.53560e-06    2.22537e-06    0.00000e+00    0.00000e+00    0.00000e+00    1.15465e+03    5.28778e+03    4.39758e+02    1.09940e+02    3.83488e+02    8.19917e+02    1.53600e-03    8.42376e+02
  mc.p5.hnu.272.nodk            272        0.07398        0.27200        0.29304        0.00390        0.21033        0.00049        0.90796        0.01305      919.22103     2109.68181       97.62230     1963.00000    1.76940e+02    8.41239e+02    1.76940e+02    1.40737e-05    4.79071e-06    7.95393e-08    2.70753e-08    1.07888e+02   -1.35958e+00    2.85767e+02    2.27297e-05    7.73721e-06    9.88931e+01    7.86589e-06    2.67756e-06    3.94593e+02    3.13857e-05    1.06837e-05    6.25507e+01    4.97524e-06    1.69358e-06    5.03414e+02    4.00411e-05    1.36301e-05    4.44731e+01    3.53736e-06    1.20412e-06    8.28836e+01    6.59250e-06    2.24410e-06    0.00000e+00    0.00000e+00    0.00000e+00    1.22610e+03    5.35172e+03    4.45076e+02    1.11269e+02    4.98028e+02    9.03265e+02    2.06621e-03    9.94648e+02
  mc.p5.hnu.273.nodk            273        0.07453        0.27300        0.29447        0.00390        0.21142        0.00050        0.90121        0.01329      970.75145     2112.96070       97.26665     1981.00000    1.76157e+02    8.33191e+02    1.76157e+02    1.39391e-05    4.74386e-06    7.91287e-08    2.69297e-08    1.07581e+02   -1.22661e+00    2.84985e+02    2.25505e-05    7.67457e-06    9.88113e+01    7.81881e-06    2.66096e-06    3.93814e+02    3.11620e-05    1.06053e-05    6.23963e+01    4.93734e-06    1.68032e-06    5.01629e+02    3.96933e-05    1.35087e-05    4.43211e+01    3.50707e-06    1.19356e-06    8.81653e+01    6.97641e-06    2.37427e-06    0.00000e+00    0.00000e+00    0.00000e+00    1.31932e+03    4.74302e+03    4.46460e+02    1.11615e+02    6.27079e+02    1.00106e+03    3.81850e-03    1.21223e+03
  mc.p5.hnu.274.nodk            274        0.07508        0.27400        0.29416        0.00370        0.20544        0.00049        0.90092        0.01372      949.83123     2024.29083       93.82567     1901.00000    1.71034e+02    8.32511e+02    1.71034e+02    1.39277e-05    4.73932e-06    8.14322e-08    2.77098e-08    1.04056e+02   -1.18486e+00    2.75861e+02    2.24640e-05    7.64406e-06    9.56240e+01    7.78688e-06    2.64973e-06    3.80684e+02    3.10000e-05    1.05487e-05    6.04641e+01    4.92372e-06    1.67545e-06    4.85506e+02    3.95359e-05    1.34533e-05    4.28519e+01    3.48952e-06    1.18742e-06    8.70533e+01    7.08895e-06    2.41223e-06    0.00000e+00    0.00000e+00    0.00000e+00    1.28106e+03    4.35330e+03    4.09775e+02    1.02444e+02    5.65307e+02    9.49342e+02    3.67891e-03    1.14203e+03
  mc.p5.hnu.275.nodk            275        0.07563        0.27500        0.29460        0.00370        0.20561        0.00048        0.88830        0.01415     1045.17479     2029.65730       93.43483     1930.00000    1.70130e+02    8.27437e+02    1.70130e+02    1.38428e-05    4.71014e-06    8.13660e-08    2.76855e-08    1.03729e+02   -9.60746e-01    2.74959e+02    2.23723e-05    7.61238e-06    9.49892e+01    7.72890e-06    2.62983e-06    3.79784e+02    3.09016e-05    1.05145e-05    6.02693e+01    4.90387e-06    1.66859e-06    4.83601e+02    3.93487e-05    1.33888e-05    4.26737e+01    3.47219e-06    1.18144e-06    9.74450e+01    7.92872e-06    2.69782e-06    0.00000e+00    0.00000e+00    0.00000e+00    1.45747e+03    3.73215e+03    4.11951e+02    1.02988e+02    6.81491e+02    1.01137e+03    5.40076e-03    1.33264e+03
  mc.p5.hnu.276.nodk            276        0.07618        0.27600        0.29508        0.00370        0.20652        0.00049        0.89821        0.01367      981.81874     2058.78713       93.16545     1930.00000    1.69835e+02    8.22348e+02    1.69835e+02    1.37577e-05    4.68123e-06    8.10060e-08    2.75634e-08    1.03627e+02   -1.24279e+00    2.74664e+02    2.22494e-05    7.57067e-06    9.52695e+01    7.71740e-06    2.62595e-06    3.79490e+02    3.07410e-05    1.04600e-05    6.01366e+01    4.87143e-06    1.65757e-06    4.83308e+02    3.91509e-05    1.33216e-05    4.25810e+01    3.44932e-06    1.17368e-06    8.42355e+01    6.82358e-06    2.32182e-06    0.00000e+00    0.00000e+00    0.00000e+00    1.32447e+03    3.84005e+03    4.23860e+02    1.05965e+02    6.53799e+02    1.00567e+03    8.16427e-03    1.32599e+03
  mc.p5.hnu.277.nodk            277        0.07673        0.27700        0.29503        0.00370        0.20767        0.00049        0.90108        0.01356      982.30711     2082.44169       94.24735     1931.00000    1.71968e+02    8.28070e+02    1.71968e+02    1.38534e-05    4.71423e-06    8.05578e-08    2.74134e-08    1.04714e+02   -1.44624e+00    2.77797e+02    2.23787e-05    7.61536e-06    9.59983e+01    7.73341e-06    2.63164e-06    3.82615e+02    3.08226e-05    1.04888e-05    6.08941e+01    4.90550e-06    1.66931e-06    4.88440e+02    3.93476e-05    1.33898e-05    4.31117e+01    3.47298e-06    1.18184e-06    7.72192e+01    6.22061e-06    2.11684e-06    0.00000e+00    0.00000e+00    0.00000e+00    1.31480e+03    3.92879e+03    4.33656e+02    1.08414e+02    6.83456e+02    1.02041e+03    9.22330e-03    1.39303e+03
  mc.p5.hnu.278.nodk            278        0.07728        0.27800        0.29551        0.00370        0.20825        0.00049        0.88727        0.01439     1093.95483     2038.95422       90.01775     1940.00000    1.64876e+02    7.91736e+02    1.64876e+02    1.32455e-05    4.50814e-06    8.03366e-08    2.73427e-08    1.00708e+02   -9.82583e-01    2.66702e+02    2.14259e-05    7.29235e-06    9.25377e+01    7.43417e-06    2.53023e-06    3.68528e+02    2.96063e-05    1.00765e-05    5.84259e+01    4.69373e-06    1.59752e-06    4.70350e+02    3.77863e-05    1.28606e-05    4.13722e+01    3.32371e-06    1.13123e-06    9.35148e+01    7.51266e-06    2.55694e-06    0.00000e+00    0.00000e+00    0.00000e+00    1.48567e+03    3.37784e+03    4.15733e+02    1.03933e+02    5.77027e+02    9.52647e+02    1.11116e-02    1.19033e+03
  mc.p5.hnu.279.nodk            279        0.07784        0.27900        0.29688        0.00370        0.20953        0.00049        0.89366        0.01425     1077.16133     2058.55365       89.66288     1930.00000    1.64918e+02    7.87084e+02    1.64918e+02    1.31677e-05    4.48275e-06    7.98439e-08    2.71817e-08    1.00489e+02   -1.27928e+00    2.66749e+02    2.12983e-05    7.25070e-06    9.24255e+01    7.37961e-06    2.51228e-06    3.67569e+02    2.93481e-05    9.99114e-06    5.82911e+01    4.65419e-06    1.58445e-06    4.69392e+02    3.74781e-05    1.27589e-05    4.13753e+01    3.30357e-06    1.12465e-06    8.02286e+01    6.40576e-06    2.18075e-06    0.00000e+00    0.00000e+00    0.00000e+00    1.42699e+03    3.44309e+03    4.23764e+02    1.05941e+02    5.46601e+02    9.62558e+02    1.93063e-02    1.13047e+03
  mc.p5.hnu.280.nodk            280        0.07840        0.28000        0.29642        0.00370        0.21031        0.00049        0.88996        0.01471     1115.16471     2019.84804       82.53138     1944.00000    1.53932e+02    7.31927e+02    1.53932e+02    1.22449e-05    4.16997e-06    7.95480e-08    2.70898e-08    9.39749e+01   -8.07110e-01    2.48757e+02    1.97881e-05    6.73877e-06    8.60358e+01    6.84398e-06    2.33069e-06    3.43580e+02    2.73311e-05    9.30751e-06    5.44074e+01    4.32800e-06    1.47389e-06    4.38399e+02    3.48738e-05    1.18761e-05    3.85588e+01    3.06728e-06    1.04455e-06    9.59667e+01    7.63396e-06    2.59972e-06    0.00000e+00    0.00000e+00    0.00000e+00    1.43807e+03    3.00248e+03    4.07979e+02    1.01995e+02    3.42667e+02    7.68041e+02    4.74928e-02    7.50153e+02
  mc.p5.hnu.281.nodk            281        0.07896        0.28100        0.29671        0.00370        0.21141        0.00049        0.88091        0.01503     1188.28841     2021.04427       85.07239     1968.00000    1.58423e+02    7.49358e+02    1.58423e+02    1.25366e-05    4.27102e-06    7.91335e-08    2.69596e-08    9.62204e+01   -5.51279e-01    2.55249e+02    2.01988e-05    6.88142e-06    8.81255e+01    6.97368e-06    2.37583e-06    3.52071e+02    2.78606e-05    9.49168e-06    5.57859e+01    4.41453e-06    1.50396e-06    4.48888e+02    3.55221e-05    1.21018e-05    3.95584e+01    3.13039e-06    1.06648e-06    1.13656e+02    8.99402e-06    3.06413e-06    0.00000e+00    0.00000e+00    0.00000e+00    1.58788e+03    3.00604e+03    4.08462e+02    1.02115e+02    4.29564e+02    8.35707e+02    8.22440e-02    8.67468e+02
