                 run          burst_time               count                dxdz                dydz                xoff                yoff                pmag               alpha                beta                 pol
               20501          1190618115                9187                   0                   0                   0                   0              73.841          3.8547e-05         8.14368e-05                   1
               20501          1190618161                9210                   0                   0                   0                   0              73.841          3.8547e-05         8.14368e-05                   1
               20501          1190618206                9245                   0                   0                   0                   0              73.841          3.8547e-05         8.14368e-05                   1
               20501          1190618298                9256                   0                   0                   0                   0              73.841          3.8547e-05         8.14368e-05                   1
               20501          1190618343                9057                   0                   0                   0                   0              73.841          3.8547e-05         8.14368e-05                   1
               20501          1190618412                9092                   0                   0                   0                   0              73.841          3.8547e-05         8.14368e-05                   1
               20501          1190618434                9194                   0                   0                   0                   0              73.841          3.8547e-05         8.14368e-05                   1
               20501          1190618548                9039                   0                   0                   0                   0              73.841          3.8547e-05         8.14368e-05                   1
               20501          1190618571                9185                   0                   0                   0                   0              73.841          3.8547e-05         8.14368e-05                   1
               20501          1190618594                9135                   0                   0                   0                   0              73.841          3.8547e-05         8.14368e-05                   1
               20501          1190618662                9138                   0                   0                   0                   0              73.841          3.8547e-05         8.14368e-05                   1
               20501          1190618685                9049                   0                   0                   0                   0              73.841          3.8547e-05         8.14368e-05                   1
               20501          1190618708                8989                   0                   0                   0                   0              73.841          3.8547e-05         8.14368e-05                   1
               20501          1190618731                9009                   0                   0                   0                   0              73.841          3.8547e-05         8.14368e-05                   1
               20501          1190618754                9136                   0                   0                   0                   0              73.841          3.8547e-05         8.14368e-05                   1
               20501          1190618845                9127                   0                   0                   0                   0              73.841          3.8547e-05         8.14368e-05                   1
               20501          1190618868                9165                   0                   0                   0                   0              73.841          3.8547e-05         8.14368e-05                   1
               20501          1190618890                9128                   0                   0                   0                   0              73.841          3.8547e-05         8.14368e-05                   1
               20501          1190618913                9034                   0                   0                   0                   0              73.841          3.8547e-05         8.14368e-05                   1
               20501          1190618959                9065                   0                   0                   0                   0              73.846          3.8547e-05         0.000129018                   1
               20501          1190618982                9123                   0                   0                   0                   0              73.846          3.8547e-05         0.000129018                   1
               20501          1190619027                9127                   0                   0                   0                   0              73.846          3.8547e-05         0.000129018                   1
               20501          1190619050                9186                   0                   0                   0                   0              73.846          3.8547e-05         0.000129018                   1
               20501          1190619073                9064                   0                   0                   0                   0              73.846          3.8547e-05         0.000129018                   1
               20501          1190619096                9207                   0                   0                   0                   0              73.846          3.8547e-05         0.000129018                   1
