                 run          burst_time               count                dxdz                dydz                xoff                yoff                pmag               alpha                beta                 pol
               20487          1190370327                6270                   0                   0                   0                   0              73.703         -3.8547e-05          0.00192627                  -1
               20487          1190370350                6341                   0                   0                   0                   0              73.703         -3.8547e-05          0.00192627                  -1
               20487          1190370373                6275                   0                   0                   0                   0              73.703         -3.8547e-05          0.00192627                  -1
               20487          1190370396                6217                   0                   0                   0                   0              73.703         -3.8547e-05          0.00192627                  -1
               20487          1190370418                6227                   0                   0                   0                   0              73.703         -3.8547e-05          0.00192627                  -1
               20487          1190370441                5986                   0                   0                   0                   0              73.703         -3.8547e-05          0.00192627                  -1
               20487          1190370669                8512                   0                   0                   0                   0              73.703         -3.8547e-05          0.00192627                  -1
               20487          1190370692                8514                   0                   0                   0                   0              73.703         -3.8547e-05          0.00192627                  -1
               20487          1190370715                8564                   0                   0                   0                   0              73.703         -3.8547e-05          0.00192627                  -1
               20487          1190370738                8546                   0                   0                   0                   0              73.703         -3.8547e-05          0.00192627                  -1
               20487          1190370760                8542                   0                   0                   0                   0              73.703         -3.8547e-05          0.00192627                  -1
               20487          1190370783                8473                   0                   0                   0                   0              73.703         -3.8547e-05          0.00192627                  -1
               20487          1190370806                8662                   0                   0                   0                   0              73.703         -3.8547e-05          0.00192627                  -1
               20487          1190370829                8561                   0                   0                   0                   0              73.703         -3.8547e-05          0.00192627                  -1
               20487          1190370852                8487                   0                   0                   0                   0              73.703         -3.8547e-05          0.00192627                  -1
               20487          1190370874                8625                   0                   0                   0                   0              73.703         -3.8547e-05          0.00192627                  -1
               20487          1190370897                7925                   0                   0                   0                   0              73.703         -3.8547e-05          0.00192627                  -1
               20487          1190370920                8814                   0                   0                   0                   0              73.703         -3.8547e-05          0.00192627                  -1
               20487          1190370943                8903                   0                   0                   0                   0              73.703         -3.8547e-05          0.00192627                  -1
               20487          1190370966                8963                   0                   0                   0                   0              73.703         -3.8547e-05          0.00192627                  -1
