         z                  bx                  by
     -1260         0.000908199        -0.000139026
     -1250         0.000882332        -0.000135709
     -1240         0.000856464        -0.000132393
     -1230         0.000830597        -0.000129077
     -1220          0.00080473         -0.00012576
     -1210         0.000778862        -0.000122444
     -1200         0.000752995        -0.000119128
     -1190         0.000727128        -0.000115811
     -1180          0.00070126        -0.000112495
     -1170         0.000675393        -0.000109179
     -1160         0.000649526        -0.000105862
     -1150         0.000623658        -0.000102546
     -1140         0.000597791        -9.92296e-05
     -1130         0.000571923        -9.59133e-05
     -1120         0.000546056        -9.25969e-05
     -1110         0.000520189        -8.92806e-05
     -1100         0.000494321        -8.59643e-05
     -1090         0.000468454         -8.2648e-05
     -1080         0.000442587        -7.93316e-05
     -1070         0.000443469         -7.4324e-05
     -1060         0.000447324        -6.91285e-05
     -1050         0.000451179         -6.3933e-05
     -1040         0.000455034        -5.87374e-05
     -1030         0.000458888        -5.35419e-05
     -1020         0.000462743        -4.83464e-05
     -1010         0.000466598        -4.31508e-05
     -1000         0.000470453        -3.79553e-05
      -990         0.000474307        -3.27598e-05
      -980         0.000478162        -2.75642e-05
      -970         0.000482017        -2.23687e-05
      -960         0.000485872        -1.71732e-05
      -950         0.000489726        -1.19776e-05
      -940         0.000493581        -6.78212e-06
      -930         0.000497436        -1.58659e-06
      -920          0.00050129         3.60894e-06
      -910         0.000505145         8.80447e-06
      -900            0.000509             1.4e-05
      -890          0.00051246         1.25782e-05
      -880         0.000515919         1.11564e-05
      -870         0.000519379          9.7346e-06
      -860         0.000522839          8.3128e-06
      -850         0.000526299         6.89099e-06
      -840         0.000529758         5.46919e-06
      -830         0.000533218         4.04739e-06
      -820         0.000536678         2.62559e-06
      -810         0.000540137         1.20379e-06
      -800         0.000543597         -2.1801e-07
      -790         0.000547057        -1.63981e-06
      -780         0.000550517        -3.06161e-06
      -770         0.000553976        -4.48341e-06
      -760         0.000557436        -5.90521e-06
      -750         0.000560896        -7.32701e-06
      -740         0.000564355        -8.74882e-06
      -730         0.000567815        -1.01706e-05
      -720         0.000571275        -1.15924e-05
      -710         0.000574735        -1.30142e-05
      -700         0.000578194         -1.4436e-05
      -690         0.000581654        -1.58578e-05
      -680         0.000565286         -1.8381e-05
      -670         0.000546714        -2.10265e-05
      -660         0.000528143         -2.3672e-05
      -650         0.000509571        -2.63175e-05
      -640            0.000491         -2.8963e-05
      -630         0.000472429        -3.16085e-05
      -620         0.000453857         -3.4254e-05
      -610         0.000435286        -3.68995e-05
      -600         0.000416714         -3.9545e-05
      -590         0.000398143        -4.21905e-05
      -580         0.000379571         -4.4836e-05
      -570            0.000361        -4.74815e-05
      -560         0.000342429         -5.0127e-05
      -550         0.000323857        -5.27725e-05
      -540         0.000305286         -5.5418e-05
      -530         0.000286714        -5.80635e-05
      -520         0.000268143         -6.0709e-05
      -510         0.000249571        -6.33545e-05
      -500            0.000231            -6.6e-05
      -490         0.000235932        -7.44615e-05
      -480         0.000240864        -8.29231e-05
      -470         0.000245796        -9.13846e-05
      -460         0.000250729        -9.98462e-05
      -450         0.000255661        -0.000108308
      -440         0.000260593        -0.000116769
      -430         0.000265525        -0.000125231
      -420         0.000270457        -0.000133692
      -410         0.000275389        -0.000142154
      -400         0.000280321        -0.000150615
      -390         0.000285253        -0.000159077
      -380         0.000290186        -0.000167538
      -370         0.000295118           -0.000176
      -360          0.00030005        -0.000184462
      -350         0.000304982        -0.000192923
      -340         0.000309914        -0.000201385
      -330         0.000314846        -0.000209846
      -320         0.000319778        -0.000218308
      -310          0.00032471        -0.000226769
      -300         0.000329643        -0.000235231
      -290         0.000334575        -0.000243692
      -280         0.000339507        -0.000252154
      -270         0.000344079        -0.000262443
      -260         0.000348611        -0.000272936
      -250         0.000353143        -0.000283429
      -240         0.000357675        -0.000293921
      -230         0.000362207        -0.000304414
      -220         0.000366739        -0.000314906
      -210         0.000371271        -0.000325399
      -200         0.000375803        -0.000335892
      -190         0.000380335        -0.000346384
      -180         0.000384867        -0.000356877
      -170         0.000389399        -0.000367369
      -160         0.000393931        -0.000377862
      -150         0.000398463        -0.000388355
      -140         0.000402995        -0.000398847
      -130         0.000407527         -0.00040934
      -120         0.000412059        -0.000419833
      -110         0.000416591        -0.000430325
      -100         0.000421123        -0.000440818
       -90         0.000425655         -0.00045131
       -80         0.000430187        -0.000461803
       -70         0.000428653        -0.000466754
       -60         0.000423075         -0.00046801
       -50         0.000417497        -0.000469266
       -40          0.00041192        -0.000470523
       -30         0.000406342        -0.000471779
       -20         0.000400764        -0.000473035
       -10         0.000395186        -0.000474291
         0         0.000389608        -0.000475548
        10          0.00038403        -0.000476804
        20         0.000378452         -0.00047806
        30         0.000372874        -0.000479317
        40         0.000367296        -0.000480573
        50         0.000361719        -0.000481829
        60         0.000356141        -0.000483085
        70         0.000350563        -0.000484342
        80         0.000344985        -0.000485598
        90         0.000339407        -0.000486854
       100         0.000333829        -0.000488111
       110         0.000328251        -0.000489367
       120         0.000322673        -0.000490623
       130         0.000315784        -0.000490966
       140         0.000308332        -0.000490918
       150          0.00030088         -0.00049087
       160         0.000293428        -0.000490822
       170         0.000285976        -0.000490774
       180         0.000278524        -0.000490726
       190         0.000271072        -0.000490678
       200          0.00026362         -0.00049063
       210         0.000256168        -0.000490582
       220         0.000248716        -0.000490534
       230         0.000241264        -0.000490486
       240         0.000233812        -0.000490437
       250         0.000226361        -0.000490389
       260         0.000218909        -0.000490341
       270         0.000211457        -0.000490293
       280         0.000204005        -0.000490245
       290         0.000196553        -0.000490197
       300         0.000189101        -0.000490149
       310         0.000181649        -0.000490101
       320         0.000174197        -0.000490053
       330         0.000166745        -0.000490005
       340         0.000181615         -0.00048028
       350         0.000198965         -0.00046948
       360         0.000216315         -0.00045868
       370         0.000233665         -0.00044788
       380         0.000251015         -0.00043708
       390         0.000268365         -0.00042628
       400         0.000285715         -0.00041548
       410         0.000303065         -0.00040468
       420         0.000320415         -0.00039388
       430         0.000337765         -0.00038308
       440         0.000355115         -0.00037228
       450         0.000372465         -0.00036148
       460         0.000389815         -0.00035068
       470         0.000407165         -0.00033988
       480         0.000424515         -0.00032908
       490         0.000441865         -0.00031828
       500         0.000459215         -0.00030748
       510         0.000476565         -0.00029668
       520         0.000493915         -0.00028588
       530         0.000511265         -0.00027508
       540          0.00052983         -0.00027031
       550          0.00054853         -0.00026621
       560          0.00056723         -0.00026211
       570          0.00058593         -0.00025801
       580          0.00060463         -0.00025391
       590          0.00062333         -0.00024981
       600          0.00064203         -0.00024571
       610          0.00066073         -0.00024161
       620          0.00067943         -0.00023751
       630          0.00069813         -0.00023341
       640          0.00071683         -0.00022931
       650          0.00073553         -0.00022521
       660          0.00075423         -0.00022111
       670          0.00077293         -0.00021701
       680          0.00079163         -0.00021291
       690          0.00081033         -0.00020881
       700          0.00082903         -0.00020471
       710          0.00084773         -0.00020061
       720          0.00086643         -0.00019651
       730          0.00088513         -0.00019241
       740          0.00087007        -0.000190176
       750         0.000851259        -0.000188149
       760         0.000832449        -0.000186122
       770         0.000813638        -0.000184095
       780         0.000794827        -0.000182068
       790         0.000776016        -0.000180041
       800         0.000757205        -0.000178014
       810         0.000738395        -0.000175986
       820         0.000719584        -0.000173959
       830         0.000700773        -0.000171932
       840         0.000681962        -0.000169905
       850         0.000663151        -0.000167878
       860         0.000644341        -0.000165851
       870          0.00062553        -0.000163824
       880         0.000606719        -0.000161797
       890         0.000587908         -0.00015977
       900         0.000569097        -0.000157743
       910         0.000550286        -0.000155716
       920         0.000531476        -0.000153689
       930         0.000512665        -0.000151662
       940         0.000493854        -0.000149635
       950         0.000475043        -0.000147608
       960         0.000456232        -0.000145581
       970         0.000437422        -0.000143554
       980         0.000418611        -0.000141527
       990           0.0003998          -0.0001395
      1000         0.000380989        -0.000137473
      1010         0.000362178        -0.000135446
      1020         0.000343368        -0.000133419
      1030         0.000324557        -0.000131392
      1040         0.000305746        -0.000129365
      1050         0.000286935        -0.000127338
      1060         0.000268124        -0.000125311
      1070         0.000249313        -0.000123284
      1080         0.000230503        -0.000121257
      1090         0.000211692         -0.00011923
      1100         0.000192881        -0.000117203
      1110         0.000188574        -0.000118917
      1120         0.000185878        -0.000121048
      1130         0.000183183        -0.000123178
      1140         0.000180487        -0.000125309
      1150         0.000177791        -0.000127439
      1160         0.000175096         -0.00012957
      1170           0.0001724          -0.0001317
      1180         0.000169704         -0.00013383
      1190         0.000167009        -0.000135961
      1200         0.000164313        -0.000138091
      1210         0.000161617        -0.000140222
      1220         0.000158922        -0.000142352
      1230         0.000156226        -0.000144483
      1240          0.00015353        -0.000146613
      1250         0.000150835        -0.000148743
      1260         0.000148139        -0.000150874
      1270         0.000145443        -0.000153004
      1280         0.000142748        -0.000155135
      1290         0.000140052        -0.000157265
      1300         0.000137357        -0.000159396
      1310         0.000134661        -0.000161526
      1320         0.000131965        -0.000163657
      1330          0.00012927        -0.000165787
      1340         0.000129146        -0.000165805
      1350         0.000129308        -0.000165589
      1360          0.00012947        -0.000165373
      1370         0.000129632        -0.000165157
      1380         0.000129795        -0.000164941
      1390         0.000129957        -0.000164724
      1400         0.000130119        -0.000164508
      1410         0.000130281        -0.000164292
      1420         0.000130443        -0.000164076
      1430         0.000130605        -0.000163859
      1440         0.000130768        -0.000163643
      1450          0.00013093        -0.000163427
      1460         0.000131092        -0.000163211
      1470         0.000131254        -0.000162995
      1480         0.000131416        -0.000162778
      1490         0.000131578        -0.000162562
      1500         0.000131741        -0.000162346
      1510         0.000131903         -0.00016213
      1520         0.000132065        -0.000161914
      1530         0.000132227        -0.000161697
      1540         0.000132389        -0.000161481
      1550         0.000132551        -0.000161265
      1560         0.000132714        -0.000161049
      1570         0.000132876        -0.000160832
      1580         0.000133038        -0.000160616
      1590           0.0001332          -0.0001604
