             channel           mass           mean     sqrt(mean)       full_acc          width      final_acc  final_acc_err       trig_eff       trig_err             bg         bg_err         dt_obs     ul_acc_sig    ul_orig_sig          ul_br          ul_u2    high1_ul_br    high1_ul_u2     low1_ul_br     low1_ul_u2    high2_ul_br    high2_ul_u2     low2_ul_br     low2_ul_u2       dt_ul_br       dt_ul_u2       dt_ll_u2       err_scat       err_trig        err_muv       err_flux     err_hscale       err_hval
  mc.p5.hnu.265.nodk            265        0.07023        0.26500        0.29778        0.00370        0.19942        0.00048        0.90179        0.01347     1870.00937      176.11086     1886.00000    1.49596e+03    7.50151e+03    2.50270e-05    8.54964e-06    2.86509e-05    9.78760e-06    2.15899e-05    7.37547e-06    3.22746e-05    1.10255e-05    1.87395e-05    6.40171e-06    2.63752e-05    9.01021e-06    0.00000e+00    6.84459e+03    7.80204e+02    3.49694e+02    8.77668e+01    6.45332e+01    4.33526e+02
  mc.p5.hnu.266.nodk            266        0.07076        0.26600        0.29824        0.00370        0.19988        0.00048        0.91241        0.01299     1899.07907      174.49454     1891.00000    1.47993e+03    7.40413e+03    2.47589e-05    8.45191e-06    2.83746e-05    9.68620e-06    2.13329e-05    7.28238e-06    3.20743e-05    1.09492e-05    1.84353e-05    6.29322e-06    2.40954e-05    8.22542e-06    0.00000e+00    5.93419e+03    7.31212e+02    3.60650e+02    9.05167e+01    6.41404e+01    4.33091e+02
  mc.p5.hnu.267.nodk            267        0.07129        0.26700        0.29914        0.00370        0.20065        0.00048        0.91971        0.01253     1912.19404      167.72423     1887.00000    1.42023e+03    7.07815e+03    2.37600e-05    8.10562e-06    2.73625e-05    9.33458e-06    2.03581e-05    6.94509e-06    3.10486e-05    1.05921e-05    1.75009e-05    5.97034e-06    2.17583e-05    7.42274e-06    0.00000e+00    6.01643e+03    6.78184e+02    3.65649e+02    9.17713e+01    5.73469e+01    4.10275e+02
  mc.p5.hnu.268.nodk            268        0.07182        0.26800        0.29923        0.00370        0.20190        0.00048        0.92015        0.01277     1929.09513      164.89942     1876.00000    1.39006e+03    6.88476e+03    2.32553e-05    7.92882e-06    2.69188e-05    9.17789e-06    1.98773e-05    6.77712e-06    3.04991e-05    1.03986e-05    1.70487e-05    5.81268e-06    1.92553e-05    6.56503e-06    0.00000e+00    4.86556e+03    7.17228e+02    3.72141e+02    9.34007e+01    5.73959e+01    4.08326e+02
  mc.p5.hnu.269.nodk            269        0.07236        0.26900        0.29969        0.00350        0.19522        0.00048        0.91129        0.01378     1827.16164      163.96448     1815.00000    1.42711e+03    7.31012e+03    2.38752e-05    8.13604e-06    2.74921e-05    9.36857e-06    2.04575e-05    6.97136e-06    3.11950e-05    1.06304e-05    1.75866e-05    5.99304e-06    2.28646e-05    7.79164e-06    0.00000e+00    4.36495e+03    7.63122e+02    3.33852e+02    8.37909e+01    5.99695e+01    4.08342e+02
  mc.p5.hnu.270.nodk            270        0.07290        0.27000        0.30011        0.00350        0.19592        0.00048        0.91042        0.01408     1832.55896      162.44947     1777.00000    1.40783e+03    7.18559e+03    2.35526e-05    8.02258e-06    2.72424e-05    9.27940e-06    2.01544e-05    6.86507e-06    3.09321e-05    1.05362e-05    1.73053e-05    5.89459e-06    1.93057e-05    6.57597e-06    0.00000e+00    4.39077e+03    8.03199e+02    3.35827e+02    8.42866e+01    5.90819e+01    4.04491e+02
  mc.p5.hnu.271.nodk            271        0.07344        0.27100        0.29964        0.00350        0.19595        0.00048        0.91411        0.01370     1863.89559      170.47654     1781.00000    1.47188e+03    7.51139e+03    2.46241e-05    8.38451e-06    2.83984e-05    9.66965e-06    2.12187e-05    7.22496e-06    3.20868e-05    1.09256e-05    1.83391e-05    6.24446e-06    1.85858e-05    6.32847e-06    0.00000e+00    4.17737e+03    7.80057e+02    3.47411e+02    8.71939e+01    7.07207e+01    4.36205e+02
  mc.p5.hnu.272.nodk            272        0.07398        0.27200        0.30022        0.00350        0.19700        0.00048        0.90335        0.01411     1841.10213      172.64770     1783.00000    1.48512e+03    7.53868e+03    2.48457e-05    8.45753e-06    2.85145e-05    9.70638e-06    2.14454e-05    7.30005e-06    3.20978e-05    1.09261e-05    1.85635e-05    6.31904e-06    2.03829e-05    6.93837e-06    0.00000e+00    4.07582e+03    8.26985e+02    3.38966e+02    8.50743e+01    7.30595e+01    4.36418e+02
  mc.p5.hnu.275.nodk            275        0.07563        0.27500        0.30148        0.00350        0.19931        0.00048        0.89414        0.01432     1888.63703      205.87531     1849.00000    1.73348e+03    8.69739e+03    2.90006e-05    9.86772e-06    3.27081e-05    1.11292e-05    2.56071e-05    8.71305e-06    3.63318e-05    1.23622e-05    2.25870e-05    7.68544e-06    2.59040e-05    8.81407e-06    0.00000e+00    3.78939e+03    9.15047e+02    3.56695e+02    8.95241e+01    1.03420e+02    5.37265e+02
  mc.p5.hnu.276.nodk            276        0.07618        0.27600        0.30212        0.00350        0.20006        0.00048        0.89286        0.01435     1892.29797      204.94880     1850.00000    1.72131e+03    8.60402e+03    2.87970e-05    9.79856e-06    3.24071e-05    1.10270e-05    2.53403e-05    8.62239e-06    3.61011e-05    1.22839e-05    2.24043e-05    7.62335e-06    2.54873e-05    8.67240e-06    0.00000e+00    3.24409e+03    9.24798e+02    3.58079e+02    8.98715e+01    9.99185e+01    5.38184e+02
  mc.p5.hnu.277.nodk            277        0.07673        0.27700        0.30185        0.00350        0.20136        0.00048        0.90304        0.01385     1929.56175      209.42110     1831.00000    1.74531e+03    8.66750e+03    2.91986e-05    9.93610e-06    3.28682e-05    1.11849e-05    2.57623e-05    8.76676e-06    3.65380e-05    1.24337e-05    2.27714e-05    7.74898e-06    2.21511e-05    7.53790e-06    0.00000e+00    3.02511e+03    8.76256e+02    3.72321e+02    9.34459e+01    1.04601e+02    5.58056e+02
