             channel           mass           mean     sqrt(mean)       full_acc          width      final_acc  final_acc_err       trig_eff       trig_err             bg         bg_err         dt_obs     ul_acc_sig    ul_orig_sig          ul_br          ul_u2    high1_ul_br    high1_ul_u2     low1_ul_br     low1_ul_u2    high2_ul_br    high2_ul_u2     low2_ul_br     low2_ul_u2       dt_ul_br       dt_ul_u2       dt_ll_u2       err_scat       err_trig        err_muv       err_flux     err_hscale       err_hval
  mc.p5.hnu.265.nodk            265        0.07023        0.26500        0.29778        0.00370        0.19942        0.00048        0.90179        0.01347     1870.00937       93.72759     1886.00000    8.52151e+02    4.27312e+03    1.42563e-05    4.87017e-06    1.78926e-05    6.11239e-06    1.10076e-05    3.76039e-06    2.15288e-05    7.35458e-06    8.66857e-06    2.96132e-06    1.56093e-05    5.33239e-06    0.00000e+00    6.84459e+03    7.80204e+02    3.49694e+02    8.77668e+01    6.45332e+01    4.33526e+02
  mc.p5.hnu.266.nodk            266        0.07076        0.26600        0.29824        0.00370        0.19988        0.00048        0.91241        0.01299     1899.07907       88.55587     1891.00000    8.12697e+02    4.06593e+03    1.35962e-05    4.64132e-06    1.72255e-05    5.88025e-06    1.03763e-05    3.54213e-06    2.09391e-05    7.14796e-06    8.04937e-06    2.74780e-06    1.29379e-05    4.41659e-06    0.00000e+00    5.93419e+03    7.31212e+02    3.60650e+02    9.05167e+01    6.41404e+01    4.33091e+02
  mc.p5.hnu.267.nodk            267        0.07129        0.26700        0.29914        0.00370        0.20065        0.00048        0.91971        0.01253     1912.19404       88.45776     1887.00000    8.08833e+02    4.03108e+03    1.35316e-05    4.61623e-06    1.71469e-05    5.84960e-06    1.03266e-05    3.52287e-06    2.08463e-05    7.11162e-06    8.01095e-06    2.73290e-06    1.15922e-05    3.95461e-06    0.00000e+00    6.01643e+03    6.78184e+02    3.65649e+02    9.17713e+01    5.73469e+01    4.10275e+02
  mc.p5.hnu.268.nodk            268        0.07182        0.26800        0.29923        0.00370        0.20190        0.00048        0.92015        0.01277     1929.09513       81.98064     1876.00000    7.58218e+02    3.75534e+03    1.26848e-05    4.32483e-06    1.63632e-05    5.57897e-06    9.52473e-06    3.24742e-06    1.99578e-05    6.80456e-06    7.29086e-06    2.48580e-06    8.99923e-06    3.06826e-06    0.00000e+00    4.86556e+03    7.17228e+02    3.72141e+02    9.34007e+01    5.73959e+01    4.08326e+02
  mc.p5.hnu.269.nodk            269        0.07236        0.26900        0.29969        0.00350        0.19522        0.00048        0.91129        0.01378     1827.16164       78.88427     1815.00000    7.56169e+02    3.87333e+03    1.26505e-05    4.31095e-06    1.62830e-05    5.54880e-06    9.46369e-06    3.22497e-06    2.00018e-05    6.81607e-06    7.22225e-06    2.46115e-06    1.16557e-05    3.97195e-06    0.00000e+00    4.36495e+03    7.63122e+02    3.33852e+02    8.37909e+01    5.99695e+01    4.08342e+02
  mc.p5.hnu.270.nodk            270        0.07290        0.27000        0.30011        0.00350        0.19592        0.00048        0.91042        0.01408     1832.55896       79.25139     1777.00000    7.54388e+02    3.85042e+03    1.26207e-05    4.29892e-06    1.63261e-05    5.56106e-06    9.45285e-06    3.21987e-06    2.00315e-05    6.82322e-06    7.22233e-06    2.46010e-06    8.74542e-06    2.97890e-06    0.00000e+00    4.39077e+03    8.03199e+02    3.35827e+02    8.42866e+01    5.90819e+01    4.04491e+02
  mc.p5.hnu.271.nodk            271        0.07344        0.27100        0.29964        0.00350        0.19595        0.00048        0.91411        0.01370     1863.89559       78.29808     1781.00000    7.47027e+02    3.81229e+03    1.24976e-05    4.25542e-06    1.62887e-05    5.54631e-06    9.34189e-06    3.18092e-06    1.99938e-05    6.80789e-06    7.12713e-06    2.42679e-06    7.29979e-06    2.48558e-06    0.00000e+00    4.17737e+03    7.80057e+02    3.47411e+02    8.71939e+01    7.07207e+01    4.36205e+02
  mc.p5.hnu.272.nodk            272        0.07398        0.27200        0.30022        0.00350        0.19700        0.00048        0.90335        0.01411     1841.10213       77.94893     1783.00000    7.43479e+02    3.77399e+03    1.24382e-05    4.23398e-06    1.61240e-05    5.48862e-06    9.28269e-06    3.15984e-06    1.97238e-05    6.71402e-06    7.07031e-06    2.40674e-06    8.41525e-06    2.86456e-06    0.00000e+00    4.07582e+03    8.26985e+02    3.38966e+02    8.50743e+01    7.30595e+01    4.36418e+02
  mc.p5.hnu.275.nodk            275        0.07563        0.27500        0.30148        0.00350        0.19931        0.00048        0.89414        0.01432     1888.63703       78.46831     1849.00000    7.38119e+02    3.70337e+03    1.23485e-05    4.20170e-06    1.60759e-05    5.46997e-06    9.23844e-06    3.14346e-06    1.97185e-05    6.70940e-06    7.01060e-06    2.38542e-06    9.48563e-06    3.22757e-06    0.00000e+00    3.78939e+03    9.15047e+02    3.56695e+02    8.95241e+01    1.03420e+02    5.37265e+02
  mc.p5.hnu.276.nodk            276        0.07618        0.27600        0.30212        0.00350        0.20006        0.00048        0.89286        0.01435     1892.29797       74.98286     1850.00000    7.12383e+02    3.56088e+03    1.19180e-05    4.05525e-06    1.55482e-05    5.29047e-06    8.76819e-06    2.98350e-06    1.92629e-05    6.55445e-06    6.64364e-06    2.26059e-06    8.88819e-06    3.02433e-06    0.00000e+00    3.24409e+03    9.24798e+02    3.58079e+02    8.98715e+01    9.99185e+01    5.38184e+02
  mc.p5.hnu.277.nodk            277        0.07673        0.27700        0.30185        0.00350        0.20136        0.00048        0.90304        0.01385     1929.56175       73.60751     1831.00000    6.98581e+02    3.46927e+03    1.16871e-05    3.97704e-06    1.53780e-05    5.23303e-06    8.57002e-06    2.91633e-06    1.90689e-05    6.48902e-06    6.43832e-06    2.19092e-06    6.06252e-06    2.06304e-06    0.00000e+00    3.02511e+03    8.76256e+02    3.72321e+02    9.34459e+01    1.04601e+02    5.58056e+02
  mc.p5.hnu.278.nodk            278        0.07728        0.27800        0.30261        0.00350        0.20207        0.00048        0.88889        0.01485     1890.50247       72.42076     1850.00000    6.86299e+02    3.39642e+03    1.14816e-05    3.90777e-06    1.50766e-05    5.13134e-06    8.43996e-06    2.87255e-06    1.87552e-05    6.38334e-06    6.31320e-06    2.14870e-06    8.61849e-06    2.93332e-06    0.00000e+00    2.90388e+03    9.97302e+02    3.57400e+02    8.97010e+01    8.27720e+01    5.02612e+02
  mc.p5.hnu.279.nodk            279        0.07784        0.27900        0.30385        0.00350        0.20355        0.00048        0.89600        0.01465     1913.47286       72.41278     1842.00000    6.82495e+02    3.35297e+03    1.14180e-05    3.88707e-06    1.50697e-05    5.13026e-06    8.33896e-06    2.83888e-06    1.86384e-05    6.34517e-06    6.24465e-06    2.12590e-06    6.95460e-06    2.36759e-06    0.00000e+00    2.97487e+03    9.79016e+02    3.66138e+02    9.18941e+01    7.62648e+01    4.82234e+02
  mc.p5.hnu.280.nodk            280        0.07840        0.28000        0.30338        0.00350        0.20428        0.00048        0.88800        0.01510     1889.92361       69.86220     1846.00000    6.59250e+02    3.22721e+03    1.10291e-05    3.75591e-06    1.46686e-05    4.99535e-06    8.04397e-06    2.73935e-06    1.82256e-05    6.20665e-06    5.98083e-06    2.03675e-06    8.04397e-06    2.73935e-06    0.00000e+00    2.62864e+03    1.03306e+03    3.57181e+02    8.96461e+01    6.82991e+01    4.58781e+02
  mc.p5.hnu.281.nodk            281        0.07896        0.28100        0.30366        0.00350        0.20517        0.00048        0.88757        0.01501     1895.01344       69.76528     1866.00000    6.60455e+02    3.21910e+03    1.10492e-05    3.76431e-06    1.45909e-05    4.97091e-06    7.99754e-06    2.72464e-06    1.82148e-05    6.20552e-06    5.94586e-06    2.02566e-06    8.91277e-06    3.03645e-06    0.00000e+00    2.64282e+03    1.02751e+03    3.59108e+02    9.01296e+01    6.26273e+01    4.48465e+02
  mc.p5.hnu.282.nodk            282        0.07952        0.28200        0.30453        0.00330        0.19798        0.00048        0.88961        0.01566     1783.29308       63.53870     1755.00000    6.33774e+02    3.20124e+03    1.06029e-05    3.61400e-06    1.41905e-05    4.83685e-06    7.60487e-06    2.59213e-06    1.77782e-05    6.05970e-06    5.57743e-06    1.90107e-06    8.47869e-06    2.88997e-06    0.00000e+00    1.95809e+03    9.85440e+02    3.18013e+02    7.98157e+01    5.61091e+01    4.27912e+02
