             channel           mass           mean     sqrt(mean)       full_acc          width      final_acc  final_acc_err       trig_eff       trig_err             bg         bg_err         dt_obs     ul_acc_sig    ul_orig_sig          ul_br          ul_u2    high1_ul_br    high1_ul_u2     low1_ul_br     low1_ul_u2    high2_ul_br    high2_ul_u2     low2_ul_br     low2_ul_u2       dt_ul_br       dt_ul_u2       dt_ll_u2       err_scat       err_trig        err_muv       err_flux     err_hscale       err_hval
  mc.p5.hnu.265.nodk            265        0.07023        0.26500        0.29778        0.00370        0.19942        0.00048        0.90179        0.01347     1870.00937      119.05458     1886.00000    1.04524e+03    5.24135e+03    1.74865e-05    5.97368e-06    2.11174e-05    7.21406e-06    1.41577e-05    4.83649e-06    2.47483e-05    8.45443e-06    1.16077e-05    3.96538e-06    1.88376e-05    6.43522e-06    0.00000e+00    6.84459e+03    7.80204e+02    3.49694e+02    8.77668e+01    6.45332e+01    4.33526e+02
  mc.p5.hnu.266.nodk            266        0.07076        0.26600        0.29824        0.00370        0.19988        0.00048        0.91241        0.01299     1899.07907      115.42284     1891.00000    1.01546e+03    5.08034e+03    1.69883e-05    5.79928e-06    2.06115e-05    7.03613e-06    1.36778e-05    4.66916e-06    2.43190e-05    8.30173e-06    1.11092e-05    3.79234e-06    1.63277e-05    5.57377e-06    0.00000e+00    5.93419e+03    7.31212e+02    3.60650e+02    9.05167e+01    6.41404e+01    4.33091e+02
  mc.p5.hnu.267.nodk            267        0.07129        0.26700        0.29914        0.00370        0.20065        0.00048        0.91971        0.01253     1912.19404      112.90526     1887.00000    9.92173e+02    4.94481e+03    1.65988e-05    5.66260e-06    2.02086e-05    6.89406e-06    1.33100e-05    4.54063e-06    2.39023e-05    8.15414e-06    1.07720e-05    3.67481e-06    1.46326e-05    4.99186e-06    0.00000e+00    6.01643e+03    6.78184e+02    3.65649e+02    9.17713e+01    5.73469e+01    4.10275e+02
  mc.p5.hnu.268.nodk            268        0.07182        0.26800        0.29923        0.00370        0.20190        0.00048        0.92015        0.01277     1929.09513      108.09019     1876.00000    9.50673e+02    4.70854e+03    1.59045e-05    5.42259e-06    1.95762e-05    6.67444e-06    1.26482e-05    4.31236e-06    2.31644e-05    7.89784e-06    1.01622e-05    3.46478e-06    1.20807e-05    4.11888e-06    0.00000e+00    4.86556e+03    7.17228e+02    3.72141e+02    9.34007e+01    5.73959e+01    4.08326e+02
  mc.p5.hnu.269.nodk            269        0.07236        0.26900        0.29969        0.00350        0.19522        0.00048        0.91129        0.01378     1827.16164      105.97927     1815.00000    9.62640e+02    4.93094e+03    1.61047e-05    5.48805e-06    1.97300e-05    6.72344e-06    1.28135e-05    4.36648e-06    2.34417e-05    7.98829e-06    1.02992e-05    3.50968e-06    1.51027e-05    5.14658e-06    0.00000e+00    4.36495e+03    7.63122e+02    3.33852e+02    8.37909e+01    5.99695e+01    4.08342e+02
  mc.p5.hnu.270.nodk            270        0.07290        0.27000        0.30011        0.00350        0.19592        0.00048        0.91042        0.01408     1832.55896      105.62056     1777.00000    9.54577e+02    4.87218e+03    1.59698e-05    5.43970e-06    1.96682e-05    6.69945e-06    1.26989e-05    4.32555e-06    2.33665e-05    7.95920e-06    1.02031e-05    3.47541e-06    1.19295e-05    4.06346e-06    0.00000e+00    4.39077e+03    8.03199e+02    3.35827e+02    8.42866e+01    5.90819e+01    4.04491e+02
  mc.p5.hnu.271.nodk            271        0.07344        0.27100        0.29964        0.00350        0.19595        0.00048        0.91411        0.01370     1863.89559      108.11928     1781.00000    9.73299e+02    4.96701e+03    1.62830e-05    5.54438e-06    2.00662e-05    6.83253e-06    1.30106e-05    4.43010e-06    2.37634e-05    8.09145e-06    1.04985e-05    3.57476e-06    1.07034e-05    3.64452e-06    0.00000e+00    4.17737e+03    7.80057e+02    3.47411e+02    8.71939e+01    7.07207e+01    4.36205e+02
  mc.p5.hnu.272.nodk            272        0.07398        0.27200        0.30022        0.00350        0.19700        0.00048        0.90335        0.01411     1841.10213      108.76144     1783.00000    9.76324e+02    4.95594e+03    1.63336e-05    5.55999e-06    2.00111e-05    6.81182e-06    1.30622e-05    4.44639e-06    2.36031e-05    8.03453e-06    1.05462e-05    3.58995e-06    1.21043e-05    4.12034e-06    0.00000e+00    4.07582e+03    8.26985e+02    3.38966e+02    8.50743e+01    7.30595e+01    4.36418e+02
  mc.p5.hnu.275.nodk            275        0.07563        0.27500        0.30148        0.00350        0.19931        0.00048        0.89414        0.01432     1888.63703      122.22794     1849.00000    1.06788e+03    5.35791e+03    1.78654e-05    6.07887e-06    2.15821e-05    7.34352e-06    1.46043e-05    4.96925e-06    2.52145e-05    8.57946e-06    1.19721e-05    4.07362e-06    1.48778e-05    5.06229e-06    0.00000e+00    3.78939e+03    9.15047e+02    3.56695e+02    8.95241e+01    1.03420e+02    5.37265e+02
  mc.p5.hnu.276.nodk            276        0.07618        0.27600        0.30212        0.00350        0.20006        0.00048        0.89286        0.01435     1892.29797      120.17573     1850.00000    1.04985e+03    5.24771e+03    1.75637e-05    5.97627e-06    2.11827e-05    7.20769e-06    1.42471e-05    4.84777e-06    2.48860e-05    8.46778e-06    1.17010e-05    3.98142e-06    1.43815e-05    4.89351e-06    0.00000e+00    3.24409e+03    9.24798e+02    3.58079e+02    8.98715e+01    9.99185e+01    5.38184e+02
  mc.p5.hnu.277.nodk            277        0.07673        0.27700        0.30185        0.00350        0.20136        0.00048        0.90304        0.01385     1929.56175      121.39458     1831.00000    1.05228e+03    5.22579e+03    1.76043e-05    5.99065e-06    2.12832e-05    7.24256e-06    1.43102e-05    4.86967e-06    2.49623e-05    8.49452e-06    1.17233e-05    3.98937e-06    1.12234e-05    3.81927e-06    0.00000e+00    3.02511e+03    8.76256e+02    3.72321e+02    9.34459e+01    1.04601e+02    5.58056e+02
  mc.p5.hnu.278.nodk            278        0.07728        0.27800        0.30261        0.00350        0.20207        0.00048        0.88889        0.01485     1890.50247      112.74383     1850.00000    9.81732e+02    4.85849e+03    1.64241e-05    5.58997e-06    2.00085e-05    6.80992e-06    1.32299e-05    4.50282e-06    2.36764e-05    8.05828e-06    1.07008e-05    3.64204e-06    1.34284e-05    4.57039e-06    0.00000e+00    2.90388e+03    9.97302e+02    3.57400e+02    8.97010e+01    8.27720e+01    5.02612e+02
  mc.p5.hnu.279.nodk            279        0.07784        0.27900        0.30385        0.00350        0.20355        0.00048        0.89600        0.01465     1913.47286      108.62859     1842.00000    9.44606e+02    4.64067e+03    1.58030e-05    5.37990e-06    1.94448e-05    6.61971e-06    1.25785e-05    4.28217e-06    2.30040e-05    7.83137e-06    1.01149e-05    3.44347e-06    1.09842e-05    3.73941e-06    0.00000e+00    2.97487e+03    9.79016e+02    3.66138e+02    9.18941e+01    7.62648e+01    4.82234e+02
  mc.p5.hnu.280.nodk            280        0.07840        0.28000        0.30338        0.00350        0.20428        0.00048        0.88800        0.01510     1889.92361      103.74802     1846.00000    9.01883e+02    4.41496e+03    1.50883e-05    5.13825e-06    1.87181e-05    6.37437e-06    1.19628e-05    4.07388e-06    2.22655e-05    7.58244e-06    9.54076e-06    3.24907e-06    1.19628e-05    4.07388e-06    0.00000e+00    2.62864e+03    1.03306e+03    3.57181e+02    8.96461e+01    6.82991e+01    4.58781e+02
  mc.p5.hnu.281.nodk            281        0.07896        0.28100        0.30366        0.00350        0.20517        0.00048        0.88757        0.01501     1895.01344      102.68466     1866.00000    8.94771e+02    4.36118e+03    1.49693e-05    5.09981e-06    1.85017e-05    6.30326e-06    1.17805e-05    4.01344e-06    2.21162e-05    7.53465e-06    9.37931e-06    3.19539e-06    1.27734e-05    4.35170e-06    0.00000e+00    2.64282e+03    1.02751e+03    3.59108e+02    9.01296e+01    6.26273e+01    4.48465e+02
  mc.p5.hnu.282.nodk            282        0.07952        0.28200        0.30453        0.00330        0.19798        0.00048        0.88961        0.01566     1783.29308       95.49832     1755.00000    8.66805e+02    4.37829e+03    1.45014e-05    4.94282e-06    1.80787e-05    6.16213e-06    1.13589e-05    3.87170e-06    2.16559e-05    7.38143e-06    8.96015e-06    3.05408e-06    1.23126e-05    4.19676e-06    0.00000e+00    1.95809e+03    9.85440e+02    3.18013e+02    7.98157e+01    5.61091e+01    4.27912e+02
  mc.p5.hnu.283.nodk            283        0.08009        0.28300        0.30474        0.00350        0.20634        0.00049        0.87398        0.01597     1858.84618      100.71258     1873.00000    8.69896e+02    4.21593e+03    1.45531e-05    4.96327e-06    1.80657e-05    6.16122e-06    1.14676e-05    3.91098e-06    2.16603e-05    7.38715e-06    9.14215e-06    3.11788e-06    1.57783e-05    5.38111e-06    0.00000e+00    2.12753e+03    1.15424e+03    3.45531e+02    8.67221e+01    6.30780e+01    4.59911e+02
