             channel           mass           mean     sqrt(mean)       full_acc          width      final_acc  final_acc_err       trig_eff       trig_err             bg         bg_err         dt_obs     ul_acc_sig    ul_orig_sig          ul_br          ul_u2    high1_ul_br    high1_ul_u2     low1_ul_br     low1_ul_u2    high2_ul_br    high2_ul_u2     low2_ul_br     low2_ul_u2       dt_ul_br       dt_ul_u2       dt_ll_u2       err_scat       err_trig        err_muv       err_flux     err_hscale       err_hval
  mc.p5.hnu.265.nodk            265        0.07023        0.26500        0.29778        0.00370        0.19942        0.00048        0.90435        0.01314     1898.12362       93.72669     1920.00000    8.52697e+02    4.27586e+03    1.42478e-05    4.86728e-06    1.78796e-05    6.10796e-06    1.10051e-05    3.75951e-06    2.15958e-05    7.37747e-06    8.62365e-06    2.94598e-06    1.61060e-05    5.50206e-06    0.00000e+00    7.05194e+03    7.60198e+02    3.60287e+02    9.04227e+01    7.43502e+01    4.47491e+02
  mc.p5.hnu.266.nodk            266        0.07076        0.26600        0.29824        0.00370        0.19988        0.00048        0.91413        0.01275     1929.26780       88.63133     1928.00000    8.13573e+02    4.07031e+03    1.35941e-05    4.64059e-06    1.73031e-05    5.90672e-06    1.03812e-05    3.54382e-06    2.10120e-05    7.17285e-06    8.05803e-06    2.75076e-06    1.35102e-05    4.61194e-06    0.00000e+00    6.12435e+03    7.23813e+02    3.72207e+02    9.34144e+01    8.05662e+01    4.61161e+02
  mc.p5.hnu.267.nodk            267        0.07129        0.26700        0.29914        0.00370        0.20065        0.00048        0.92129        0.01229     1944.32151       88.71274     1921.00000    8.11409e+02    4.04391e+03    1.35579e-05    4.62522e-06    1.72526e-05    5.88565e-06    1.03579e-05    3.53353e-06    2.09473e-05    7.14607e-06    8.04283e-06    2.74377e-06    1.17651e-05    4.01361e-06    0.00000e+00    6.22030e+03    6.72637e+02    3.78039e+02    9.48779e+01    7.32902e+01    4.30807e+02
  mc.p5.hnu.268.nodk            268        0.07182        0.26800        0.29923        0.00370        0.20190        0.00048        0.92150        0.01257     1955.64519       81.78662     1907.00000    7.55265e+02    3.74072e+03    1.26198e-05    4.30268e-06    1.62935e-05    5.55522e-06    9.47638e-06    3.23094e-06    2.00507e-05    6.83622e-06    7.25584e-06    2.47386e-06    9.23945e-06    3.15016e-06    0.00000e+00    5.00041e+03    7.11434e+02    3.82455e+02    9.59862e+01    7.23917e+01    4.26379e+02
  mc.p5.hnu.269.nodk            269        0.07236        0.26900        0.29969        0.00350        0.19522        0.00048        0.91270        0.01357     1831.23447       77.28704     1846.00000    7.44222e+02    3.81213e+03    1.24353e-05    4.23760e-06    1.61502e-05    5.50354e-06    9.26162e-06    3.15611e-06    1.97786e-05    6.73999e-06    7.04313e-06    2.40011e-06    1.37311e-05    4.67918e-06    0.00000e+00    4.38443e+03    7.41194e+02    3.35342e+02    8.41621e+01    5.41076e+01    3.74051e+02
  mc.p5.hnu.270.nodk            270        0.07290        0.27000        0.30011        0.00350        0.19592        0.00048        0.91152        0.01391     1846.60389       78.30033     1815.00000    7.47826e+02    3.81692e+03    1.24955e-05    4.25627e-06    1.61967e-05    5.51698e-06    9.33680e-06    3.18034e-06    1.98978e-05    6.77765e-06    7.12010e-06    2.42528e-06    1.01148e-05    3.44535e-06    0.00000e+00    4.45833e+03    7.94539e+02    3.40995e+02    8.55808e+01    5.82271e+01    3.93265e+02
  mc.p5.hnu.271.nodk            271        0.07344        0.27100        0.29964        0.00350        0.19595        0.00048        0.91463        0.01362     1854.01081       75.58030     1815.00000    7.31252e+02    3.73178e+03    1.22186e-05    4.16042e-06    1.59202e-05    5.42081e-06    8.99771e-06    3.06372e-06    1.96218e-05    6.68123e-06    6.82147e-06    2.32271e-06    9.30870e-06    3.16961e-06    0.00000e+00    4.13318e+03    7.61967e+02    3.43736e+02    8.62687e+01    4.40078e+01    3.43225e+02
  mc.p5.hnu.272.nodk            272        0.07398        0.27200        0.30022        0.00350        0.19700        0.00048        0.90373        0.01406     1829.26619       75.18520     1815.00000    7.21995e+02    3.66494e+03    1.20639e-05    4.10656e-06    1.57459e-05    5.35994e-06    8.93000e-06    3.03979e-06    1.93423e-05    6.58416e-06    6.75767e-06    2.30032e-06    1.09257e-05    3.71913e-06    0.00000e+00    4.02359e+03    8.09628e+02    3.34621e+02    8.39813e+01    4.71655e+01    3.53830e+02
  mc.p5.hnu.275.nodk            275        0.07563        0.27500        0.30148        0.00350        0.19931        0.00048        0.89493        0.01422     1842.07635       72.76801     1868.00000    6.98006e+02    3.50211e+03    1.16630e-05    3.96846e-06    1.52187e-05    5.17830e-06    8.57246e-06    2.91686e-06    1.88589e-05    6.41690e-06    6.45023e-06    2.19475e-06    1.38642e-05    4.71741e-06    0.00000e+00    3.60485e+03    8.56676e+02    3.39325e+02    8.51616e+01    4.89812e+01    3.60185e+02
  mc.p5.hnu.276.nodk            276        0.07618        0.27600        0.30212        0.00350        0.20006        0.00048        0.89366        0.01425     1850.06070       69.14032     1868.00000    6.70454e+02    3.35129e+03    1.12027e-05    3.81186e-06    1.48308e-05    5.04637e-06    8.14177e-06    2.77035e-06    1.84586e-05    6.28080e-06    6.07221e-06    2.06615e-06    1.27215e-05    4.32866e-06    0.00000e+00    3.10088e+03    8.70018e+02    3.42272e+02    8.59015e+01    4.34045e+01    3.37904e+02
