scan  pos_lower_min_m2m
          shift             dt             hl          scale            err
             20            420        70.2484        5.97878       0.770687
             25            459        77.0394        5.95799        0.73356
             30            481        78.0136        6.16559       0.752538
             35            481        78.0136        6.16559       0.752538
             40            481        78.0136        6.16559       0.752538
             45            481        78.0136        6.16559       0.752538
             50            481        78.0136        6.16559       0.752538
             55            481        78.0136        6.16559       0.752538
             60            481        78.0136        6.16559       0.752538
