scan  neg_lower_min_m2m
          shift             dt             hl          scale            err
             20            466        42.9041        10.8614        1.73285
             25            519        47.7747        10.8635        1.64245
             30            547        49.7031        11.0054        1.63041
             35            547        49.7031        11.0054        1.63041
             40            547        49.7031        11.0054        1.63041
             45            547        49.7031        11.0054        1.63041
             50            547        49.7031        11.0054        1.63041
             55            547        49.7031        11.0054        1.63041
             60            547        49.7031        11.0054        1.63041
