scan  pos_lower_min_m2m
          shift             dt             hl          scale            err       fitscale     fitscalerr        fitchi2
             20            420        70.2484        5.97878       0.770687        5.73636       0.749014        1.37011
             25            459        77.0394        5.95799        0.73356        5.73696       0.714682        1.37012
             30            481        78.0136        6.16559       0.752538        5.75268       0.714348        1.88875
             35            481        78.0136        6.16559       0.752538        5.75268       0.714348        1.88875
             40            481        78.0136        6.16559       0.752538        5.75268       0.714348        1.88875
             45            481        78.0136        6.16559       0.752538        5.75268       0.714348        1.88875
             50            481        78.0136        6.16559       0.752538        5.75268       0.714348        1.88875
             55            481        78.0136        6.16559       0.752538        5.75268       0.714348        1.88875
             60            481        78.0136        6.16559       0.752538        5.75268       0.714348        1.88875
