             channel           mass           mean     sqrt(mean)       full_acc          width      final_acc  final_acc_err       trig_eff   raw_trig_err raw_trig_sqerr             bg         bg_err         dt_obs     ul_acc_sig    ul_orig_sig          ul_mu          ul_br          ul_u2         ses_br         ses_u2     comb_sigma        dt_pull    high1_ul_mu    high1_ul_br    high1_ul_u2     low1_ul_mu     low1_ul_br     low1_ul_u2    high2_ul_mu    high2_ul_br    high2_ul_u2     low2_ul_mu     low2_ul_br     low2_ul_u2    high3_ul_mu    high3_ul_br    high3_ul_u2     low3_ul_mu     low3_ul_br     low3_ul_u2       dt_ul_mu       dt_ul_br       dt_ul_u2       dt_ll_mu       dt_ll_br       dt_ll_u2       err_trig       err_scat        err_muv       err_flux     err_hscale       err_hval       err_k3pi     err_hshape
  mc.p5.hnu.260.nodk            260        0.06760        0.26000        0.28931        0.00390        0.20129        0.00048        0.90528        0.01341      850.19927     1968.43970      112.15308     1816.00000    1.98067e+02    9.84002e+02    1.98067e+02    1.64621e-05    5.65009e-06    8.31138e-08    2.85262e-08    1.20610e+02   -1.26391e+00    3.19897e+02    2.65878e-05    9.12543e-06    1.10595e+02    9.19194e-06    3.15484e-06    4.40716e+02    3.66296e-05    1.25719e-05    7.01521e+01    5.83060e-06    2.00117e-06    5.62539e+02    4.67547e-05    1.60471e-05    4.97019e+01    4.13091e-06    1.41780e-06    9.70669e+01    8.06759e-06    2.76895e-06    0.00000e+00    0.00000e+00    0.00000e+00    1.27133e+03    8.62392e+03    3.87475e+02    9.68689e+01    4.35725e+02    8.81559e+02    8.82775e-03    8.81419e+02
  mc.p5.hnu.261.nodk            261        0.06812        0.26100        0.29015        0.00390        0.20231        0.00048        0.89982        0.01359      883.38120     1967.38693      107.91277     1852.00000    1.91653e+02    9.47309e+02    1.91653e+02    1.58482e-05    5.43356e-06    8.26922e-08    2.83510e-08    1.16673e+02   -9.88978e-01    3.09482e+02    2.55917e-05    8.77413e-06    1.07018e+02    8.84959e-06    3.03408e-06    4.26301e+02    3.52518e-05    1.20861e-05    6.78830e+01    5.61339e-06    1.92455e-06    5.44124e+02    4.49948e-05    1.54264e-05    4.80843e+01    3.97619e-06    1.36324e-06    1.07991e+02    8.92998e-06    3.06164e-06    0.00000e+00    0.00000e+00    0.00000e+00    1.31984e+03    7.62415e+03    3.87061e+02    9.67653e+01    4.71939e+02    8.69894e+02    1.40448e-02    8.75505e+02
  mc.p5.hnu.262.nodk            262        0.06864        0.26200        0.29038        0.00390        0.20280        0.00048        0.90702        0.01304      826.20631     1998.87308      109.47366     1844.00000    1.93759e+02    9.55401e+02    1.93759e+02    1.59836e-05    5.47447e-06    8.24920e-08    2.82539e-08    1.18251e+02   -1.30970e+00    3.13590e+02    2.58687e-05    8.86016e-06    1.08521e+02    8.95214e-06    3.06616e-06    4.32412e+02    3.56705e-05    1.22173e-05    6.87363e+01    5.67019e-06    1.94207e-06    5.51231e+02    4.54721e-05    1.55744e-05    4.87784e+01    4.02383e-06    1.37818e-06    9.30668e+01    7.67726e-06    2.62950e-06    0.00000e+00    0.00000e+00    0.00000e+00    1.21205e+03    7.87014e+03    3.99549e+02    9.98873e+01    5.35292e+02    9.11084e+02    8.51996e-03    9.56474e+02
  mc.p5.hnu.263.nodk            263        0.06917        0.26300        0.29018        0.00390        0.20350        0.00048        0.90582        0.01294      798.68549     1977.70893      106.57268     1905.00000    1.89369e+02    9.30554e+02    1.89369e+02    1.55679e-05    5.32710e-06    8.22094e-08    2.81308e-08    1.15479e+02   -6.29628e-01    3.06199e+02    2.51725e-05    8.61363e-06    1.06152e+02    8.72672e-06    2.98615e-06    4.22020e+02    3.46940e-05    1.18717e-05    6.70215e+01    5.50979e-06    1.88537e-06    5.38843e+02    4.42980e-05    1.51581e-05    4.75981e+01    3.91301e-06    1.33897e-06    1.30337e+02    1.07149e-05    3.66649e-06    0.00000e+00    0.00000e+00    0.00000e+00    1.17553e+03    7.70436e+03    3.91133e+02    9.77833e+01    3.89163e+02    8.33156e+02    3.08136e-03    7.66608e+02
  mc.p5.hnu.264.nodk            264        0.06970        0.26400        0.29036        0.00390        0.20311        0.00048        0.89384        0.01360      891.96991     1962.45500      106.24301     1927.00000    1.89016e+02    9.30608e+02    1.89016e+02    1.55688e-05    5.32280e-06    8.23678e-08    2.81606e-08    1.15109e+02   -3.08013e-01    3.04839e+02    2.51089e-05    8.58445e-06    1.05753e+02    8.71066e-06    2.97807e-06    4.20664e+02    3.46492e-05    1.18462e-05    6.69202e+01    5.51207e-06    1.88451e-06    5.36483e+02    4.41890e-05    1.51077e-05    4.74594e+01    3.90913e-06    1.33649e-06    1.57061e+02    1.29368e-05    4.42293e-06    0.00000e+00    0.00000e+00    0.00000e+00    1.36560e+03    7.53805e+03    3.85123e+02    9.62807e+01    3.46645e+02    8.00587e+02    1.74299e-03    7.55286e+02
  mc.p5.hnu.265.nodk            265        0.07023        0.26500        0.29085        0.00390        0.20461        0.00048        0.90345        0.01313      855.10562     2012.57265      108.91782     1969.00000    1.93313e+02    9.44765e+02    1.93313e+02    1.58057e-05    5.39948e-06    8.17623e-08    2.79313e-08    1.17795e+02   -3.69902e-01    3.12140e+02    2.55213e-05    8.71850e-06    1.08026e+02    8.83249e-06    3.01732e-06    4.30966e+02    3.52367e-05    1.20374e-05    6.83300e+01    5.58682e-06    1.90855e-06    5.48780e+02    4.48695e-05    1.53282e-05    4.85804e+01    3.97205e-06    1.35692e-06    1.54860e+02    1.26617e-05    4.32544e-06    0.00000e+00    0.00000e+00    0.00000e+00    1.26745e+03    7.92799e+03    4.05045e+02    1.01261e+02    4.01414e+02    8.63363e+02    4.10461e-03    8.96568e+02
  mc.p5.hnu.266.nodk            266        0.07076        0.26600        0.29111        0.00390        0.20536        0.00048        0.90957        0.01283      818.55337     2027.90767      101.57403     1967.00000    1.81996e+02    8.86232e+02    1.81996e+02    1.48264e-05    5.06127e-06    8.14656e-08    2.78098e-08    1.11109e+02   -5.48180e-01    2.94829e+02    2.40184e-05    8.19913e-06    1.01852e+02    8.29744e-06    2.83248e-06    4.06651e+02    3.31281e-05    1.13089e-05    6.44782e+01    5.25276e-06    1.79313e-06    5.18470e+02    4.22375e-05    1.44186e-05    4.57387e+01    3.72613e-06    1.27198e-06    1.31461e+02    1.07096e-05    3.65591e-06    0.00000e+00    0.00000e+00    0.00000e+00    1.13624e+03    6.76661e+03    4.11241e+02    1.02810e+02    3.49737e+02    7.82239e+02    4.10461e-03    7.68393e+02
  mc.p5.hnu.267.nodk            267        0.07129        0.26700        0.29226        0.00390        0.20623        0.00048        0.91873        0.01237      760.16116     2047.17242      101.45552     1944.00000    1.82700e+02    8.85924e+02    1.82700e+02    1.48213e-05    5.05621e-06    8.11235e-08    2.76749e-08    1.11087e+02   -9.28751e-01    2.94528e+02    2.38931e-05    8.15104e-06    1.02179e+02    8.28910e-06    2.82779e-06    4.06351e+02    3.29646e-05    1.12457e-05    6.43972e+01    5.22413e-06    1.78219e-06    5.18170e+02    4.20357e-05    1.43403e-05    4.56911e+01    3.70662e-06    1.26450e-06    1.06168e+02    8.61275e-06    2.93820e-06    0.00000e+00    0.00000e+00    0.00000e+00    1.01984e+03    6.89579e+03    4.19091e+02    1.04773e+02    3.41893e+02    7.72139e+02    8.56489e-03    7.39689e+02
  mc.p5.hnu.268.nodk            268        0.07182        0.26800        0.29234        0.00390        0.20786        0.00049        0.91516        0.01274      818.58324     2054.52399      100.97677     1957.00000    1.81684e+02    8.74082e+02    1.81684e+02    1.46232e-05    4.98572e-06    8.04866e-08    2.74417e-08    1.10683e+02   -8.81107e-01    2.93513e+02    2.36239e-05    8.05449e-06    1.01442e+02    8.16473e-06    2.78374e-06    4.04333e+02    3.25434e-05    1.10956e-05    6.43536e+01    5.17961e-06    1.76597e-06    5.16155e+02    4.15436e-05    1.41641e-05    4.55772e+01    3.66836e-06    1.25071e-06    1.08539e+02    8.73595e-06    2.97849e-06    0.00000e+00    0.00000e+00    0.00000e+00    1.09737e+03    6.94540e+03    4.22107e+02    1.05527e+02    2.97982e+02    7.11603e+02    7.59772e-03    6.16312e+02
  mc.p5.hnu.269.nodk            269        0.07236        0.26900        0.29269        0.00390        0.20822        0.00049        0.90811        0.01317      877.02832     2042.78580       94.55600     1942.00000    1.71766e+02    8.24934e+02    1.71766e+02    1.38009e-05    4.70298e-06    8.03475e-08    2.73802e-08    1.04803e+02   -9.61671e-01    2.77592e+02    2.23038e-05    7.60054e-06    9.59532e+01    7.70959e-06    2.62722e-06    3.83417e+02    3.08066e-05    1.04981e-05    6.09034e+01    4.89344e-06    1.66755e-06    4.89241e+02    3.93093e-05    1.33955e-05    4.31343e+01    3.46573e-06    1.18103e-06    9.84075e+01    7.90679e-06    2.69442e-06    0.00000e+00    0.00000e+00    0.00000e+00    1.16548e+03    5.45596e+03    4.17297e+02    1.04324e+02    3.20670e+02    7.72661e+02    4.10740e-03    7.04440e+02
