             channel           mass           mean     sqrt(mean)       full_acc          width      final_acc  final_acc_err       trig_eff   raw_trig_err raw_trig_sqerr             bg         bg_err         dt_obs     ul_acc_sig    ul_orig_sig          ul_mu          ul_br          ul_u2         ses_br         ses_u2     comb_sigma        dt_pull    high1_ul_mu    high1_ul_br    high1_ul_u2     low1_ul_mu     low1_ul_br     low1_ul_u2    high2_ul_mu    high2_ul_br    high2_ul_u2     low2_ul_mu     low2_ul_br     low2_ul_u2    high3_ul_mu    high3_ul_br    high3_ul_u2     low3_ul_mu     low3_ul_br     low3_ul_u2       dt_ul_mu       dt_ul_br       dt_ul_u2       dt_ll_mu       dt_ll_br       dt_ll_u2       err_trig       err_scat        err_muv       err_flux     err_hscale       err_hval       err_k3pi     err_hshape        err_km3
  mc.p5.hnu.260.nodk            260        0.06760        0.26000        0.28931        0.00390        0.20129        0.00048        0.89900        0.02500     2954.99097     1954.77944      121.87090     1816.00000    2.12567e+02    1.05604e+03    2.12567e+02    1.76672e-05    6.06372e-06    8.31138e-08    2.85262e-08    1.29643e+02   -1.07047e+00    3.43395e+02    2.85408e-05    9.79574e-06    1.19265e+02    9.91256e-06    3.40217e-06    4.74221e+02    3.94143e-05    1.35277e-05    7.53921e+01    6.26612e-06    2.15065e-06    6.04037e+02    5.02038e-05    1.72309e-05    5.34548e+01    4.44283e-06    1.52486e-06    1.15026e+02    9.56026e-06    3.28126e-06    0.00000e+00    0.00000e+00    0.00000e+00    3.51364e+03    8.50464e+03    3.82116e+02    9.55291e+01    4.35725e+02    8.81559e+02    9.80861e-04    8.81419e+02    1.57877e+02
  mc.p5.hnu.261.nodk            261        0.06812        0.26100        0.29015        0.00390        0.20231        0.00048        0.89900        0.02500     2987.77043     1965.59164      118.26863     1852.00000    2.07273e+02    1.02451e+03    2.07273e+02    1.71398e-05    5.87639e-06    8.26922e-08    2.83510e-08    1.26305e+02   -8.99341e-01    3.34096e+02    2.76271e-05    9.47196e-06    1.16113e+02    9.60161e-06    3.29191e-06    4.61924e+02    3.81975e-05    1.30960e-05    7.33214e+01    6.06311e-06    2.07874e-06    5.88743e+02    4.86844e-05    1.66914e-05    5.20787e+01    4.30650e-06    1.47648e-06    1.22662e+02    1.01432e-05    3.47759e-06    0.00000e+00    0.00000e+00    0.00000e+00    3.51523e+03    7.61024e+03    3.86355e+02    9.65888e+01    4.71939e+02    8.69894e+02    1.56053e-03    8.75505e+02    1.61714e+02
  mc.p5.hnu.262.nodk            262        0.06864        0.26200        0.29038        0.00390        0.20280        0.00048        0.89900        0.02500     3035.42203     1981.20413      119.87334     1844.00000    2.10233e+02    1.03663e+03    2.10233e+02    1.73425e-05    5.93991e-06    8.24920e-08    2.82539e-08    1.27870e+02   -1.07299e+00    3.39061e+02    2.79698e-05    9.57981e-06    1.17535e+02    9.69570e-06    3.32083e-06    4.66879e+02    3.85138e-05    1.31912e-05    7.43598e+01    6.13409e-06    2.10096e-06    5.95701e+02    4.91405e-05    1.68309e-05    5.27458e+01    4.35111e-06    1.49028e-06    1.13303e+02    9.34658e-06    3.20125e-06    0.00000e+00    0.00000e+00    0.00000e+00    3.57879e+03    7.73162e+03    3.92517e+02    9.81292e+01    5.35292e+02    9.11084e+02    9.46662e-04    9.56474e+02    1.65715e+02
  mc.p5.hnu.263.nodk            263        0.06917        0.26300        0.29018        0.00390        0.20350        0.00048        0.89900        0.02500     2979.33349     1962.81443      117.16137     1905.00000    2.05327e+02    1.00897e+03    2.05327e+02    1.68798e-05    5.77602e-06    8.22094e-08    2.81308e-08    1.25258e+02   -4.61562e-01    3.32158e+02    2.73065e-05    9.34386e-06    1.15015e+02    9.45535e-06    3.23547e-06    4.57980e+02    3.76502e-05    1.28833e-05    7.28622e+01    5.98996e-06    2.04967e-06    5.83799e+02    4.79937e-05    1.64227e-05    5.17183e+01    4.25173e-06    1.45488e-06    1.55927e+02    1.28186e-05    4.38634e-06    0.00000e+00    0.00000e+00    0.00000e+00    3.49604e+03    7.58875e+03    3.85264e+02    9.63160e+01    3.89163e+02    8.33156e+02    3.42374e-04    7.66608e+02    1.71488e+02
  mc.p5.hnu.264.nodk            264        0.06970        0.26400        0.29036        0.00390        0.20311        0.00048        0.89900        0.02500     3012.75711     1973.79363      117.13133     1927.00000    2.05376e+02    1.01116e+03    2.05376e+02    1.69164e-05    5.78351e-06    8.23678e-08    2.81606e-08    1.25274e+02   -3.73531e-01    3.32205e+02    2.73630e-05    9.35510e-06    1.15048e+02    9.47629e-06    3.23983e-06    4.58027e+02    3.77267e-05    1.28983e-05    7.28843e+01    6.00332e-06    2.05247e-06    5.83846e+02    4.80901e-05    1.64414e-05    5.16106e+01    4.25105e-06    1.45339e-06    1.64328e+02    1.35353e-05    4.62757e-06    0.00000e+00    0.00000e+00    0.00000e+00    3.52909e+03    7.62541e+03    3.89586e+02    9.73965e+01    3.46645e+02    8.00587e+02    1.93666e-04    7.55286e+02    1.75740e+02
  mc.p5.hnu.265.nodk            265        0.07023        0.26500        0.29085        0.00390        0.20461        0.00048        0.89900        0.02500     3101.53411     2002.66341      119.71980     1969.00000    2.09675e+02    1.02473e+03    2.09675e+02    1.71435e-05    5.85650e-06    8.17623e-08    2.79313e-08    1.27810e+02   -2.63386e-01    3.38502e+02    2.76767e-05    9.45480e-06    1.17231e+02    9.58504e-06    3.27441e-06    4.67327e+02    3.82097e-05    1.30531e-05    7.44226e+01    6.08496e-06    2.07872e-06    5.96148e+02    4.87425e-05    1.66512e-05    5.27671e+01    4.31435e-06    1.47385e-06    1.79144e+02    1.46472e-05    5.00372e-06    0.00000e+00    0.00000e+00    0.00000e+00    3.64044e+03    7.85011e+03    4.01066e+02    1.00267e+02    4.01414e+02    8.63363e+02    4.56068e-04    8.96568e+02    1.79599e+02
  mc.p5.hnu.266.nodk            266        0.07076        0.26600        0.29111        0.00390        0.20536        0.00048        0.89900        0.02500     3106.76700     2004.35214      113.09253     1967.00000    1.99837e+02    9.73107e+02    1.99837e+02    1.62798e-05    5.55742e-06    8.14656e-08    2.78098e-08    1.21632e+02   -3.07092e-01    3.21659e+02    2.62041e-05    8.94526e-06    1.11593e+02    9.09098e-06    3.10337e-06    4.44485e+02    3.62102e-05    1.23610e-05    7.07848e+01    5.76653e-06    1.96851e-06    5.67308e+02    4.62161e-05    1.57767e-05    5.01518e+01    4.08565e-06    1.39471e-06    1.66048e+02    1.35272e-05    4.61776e-06    0.00000e+00    0.00000e+00    0.00000e+00    3.59113e+03    6.61033e+03    4.01743e+02    1.00436e+02    3.49737e+02    7.82239e+02    4.56068e-04    7.68393e+02    1.85909e+02
  mc.p5.hnu.267.nodk            267        0.07129        0.26700        0.29226        0.00390        0.20623        0.00048        0.89900        0.02500     3103.23765     2003.21333      112.84996     1944.00000    1.99597e+02    9.67859e+02    1.99597e+02    1.61920e-05    5.52384e-06    8.11235e-08    2.76749e-08    1.21402e+02   -4.87748e-01    3.21422e+02    2.60748e-05    8.89531e-06    1.11336e+02    9.03199e-06    3.08122e-06    4.44250e+02    3.60391e-05    1.22946e-05    7.05760e+01    5.72537e-06    1.95318e-06    5.66067e+02    4.59213e-05    1.56658e-05    5.01108e+01    4.06516e-06    1.38681e-06    1.48812e+02    1.20722e-05    4.11837e-06    0.00000e+00    0.00000e+00    0.00000e+00    3.58637e+03    6.60282e+03    4.01286e+02    1.00322e+02    3.41893e+02    7.72139e+02    9.51654e-04    7.39689e+02    1.90590e+02
  mc.p5.hnu.268.nodk            268        0.07182        0.26800        0.29234        0.00390        0.20786        0.00049        0.89900        0.02500     3149.96743     2018.23956      112.52750     1957.00000    1.99181e+02    9.58260e+02    1.99181e+02    1.60314e-05    5.46586e-06    8.04866e-08    2.74417e-08    1.21164e+02   -5.05428e-01    3.21007e+02    2.58368e-05    8.80898e-06    1.11474e+02    8.97215e-06    3.05903e-06    4.42830e+02    3.56419e-05    1.21520e-05    7.03232e+01    5.66008e-06    1.92978e-06    5.64649e+02    4.54467e-05    1.54949e-05    4.99212e+01    4.01799e-06    1.36992e-06    1.46987e+02    1.18305e-05    4.03356e-06    0.00000e+00    0.00000e+00    0.00000e+00    3.63014e+03    6.70225e+03    4.07329e+02    1.01832e+02    2.97982e+02    7.11603e+02    8.44192e-04    6.16312e+02    1.94988e+02
  mc.p5.hnu.269.nodk            269        0.07236        0.26900        0.29269        0.00390        0.20822        0.00049        0.89900        0.02500     3162.64593     2022.29715      107.02972     1942.00000    1.90794e+02    9.16322e+02    1.90794e+02    1.53298e-05    5.22399e-06    8.03475e-08    2.73802e-08    1.16093e+02   -6.91660e-01    3.07621e+02    2.47166e-05    8.42274e-06    1.06735e+02    8.57588e-06    2.92243e-06    4.24444e+02    3.41030e-05    1.16214e-05    6.75322e+01    5.42604e-06    1.84905e-06    5.41264e+02    4.34892e-05    1.48199e-05    4.78908e+01    3.84791e-06    1.31126e-06    1.26477e+02    1.01621e-05    3.46297e-06    0.00000e+00    0.00000e+00    0.00000e+00    3.59924e+03    5.34706e+03    4.08969e+02    1.02242e+02    3.20670e+02    7.72661e+02    4.56377e-04    7.04440e+02    2.00076e+02
