             channel           mass           mean     sqrt(mean)       full_acc          width      final_acc  final_acc_err       trig_eff   raw_trig_err raw_trig_sqerr             bg         bg_err         dt_obs     ul_acc_sig    ul_orig_sig          ul_mu          ul_br          ul_u2         ses_br         ses_u2     comb_sigma        dt_pull    high1_ul_mu    high1_ul_br    high1_ul_u2     low1_ul_mu     low1_ul_br     low1_ul_u2    high2_ul_mu    high2_ul_br    high2_ul_u2     low2_ul_mu     low2_ul_br     low2_ul_u2    high3_ul_mu    high3_ul_br    high3_ul_u2     low3_ul_mu     low3_ul_br     low3_ul_u2       dt_ul_mu       dt_ul_br       dt_ul_u2       dt_ll_mu       dt_ll_br       dt_ll_u2       err_trig       err_scat        err_muv       err_flux     err_hscale       err_hval       err_k3pi     err_hshape        err_km3
  mc.p5.hnu.260.nodk            260        0.06760        0.26000        0.28931        0.00390        0.20129        0.00048        0.90528        0.01341      850.19927     1968.43970      112.87787     1816.00000    1.99174e+02    9.89504e+02    1.99174e+02    1.65541e-05    5.68168e-06    8.31138e-08    2.85262e-08    1.21284e+02   -1.25688e+00    3.21000e+02    2.66795e-05    9.15689e-06    1.11543e+02    9.27072e-06    3.18188e-06    4.43828e+02    3.68882e-05    1.26607e-05    7.03988e+01    5.85111e-06    2.00821e-06    5.65647e+02    4.70130e-05    1.61357e-05    4.99870e+01    4.15460e-06    1.42594e-06    9.79483e+01    8.14085e-06    2.79409e-06    0.00000e+00    0.00000e+00    0.00000e+00    1.27657e+03    8.62392e+03    3.87475e+02    9.68689e+01    4.35725e+02    8.81559e+02    9.80861e-04    8.81419e+02    1.57877e+02
  mc.p5.hnu.261.nodk            261        0.06812        0.26100        0.29015        0.00390        0.20231        0.00048        0.89982        0.01359      883.38120     1967.38693      108.68668     1852.00000    1.92829e+02    9.53120e+02    1.92829e+02    1.59454e-05    5.46689e-06    8.26922e-08    2.83510e-08    1.17389e+02   -9.82945e-01    3.10653e+02    2.56886e-05    8.80734e-06    1.07542e+02    8.89290e-06    3.04893e-06    4.29481e+02    3.55148e-05    1.21762e-05    6.81731e+01    5.63738e-06    1.93278e-06    5.47299e+02    4.52573e-05    1.55165e-05    4.84023e+01    4.00249e-06    1.37225e-06    1.09002e+02    9.01362e-06    3.09032e-06    0.00000e+00    0.00000e+00    0.00000e+00    1.32577e+03    7.62415e+03    3.87061e+02    9.67653e+01    4.71939e+02    8.69894e+02    1.56053e-03    8.75505e+02    1.61714e+02
  mc.p5.hnu.262.nodk            262        0.06864        0.26200        0.29038        0.00390        0.20280        0.00048        0.90702        0.01304      826.20631     1998.87308      110.25154     1844.00000    1.94943e+02    9.61236e+02    1.94943e+02    1.60812e-05    5.50790e-06    8.24920e-08    2.82539e-08    1.18972e+02   -1.30176e+00    3.14769e+02    2.59659e-05    8.89346e-06    1.09051e+02    8.99585e-06    3.08113e-06    4.34593e+02    3.58504e-05    1.22790e-05    6.90312e+01    5.69452e-06    1.95040e-06    5.54413e+02    4.57346e-05    1.56644e-05    4.89762e+01    4.04014e-06    1.38377e-06    9.39961e+01    7.75392e-06    2.65576e-06    0.00000e+00    0.00000e+00    0.00000e+00    1.21726e+03    7.87014e+03    3.99549e+02    9.98873e+01    5.35292e+02    9.11084e+02    9.46662e-04    9.56474e+02    1.65715e+02
  mc.p5.hnu.263.nodk            263        0.06917        0.26300        0.29018        0.00390        0.20350        0.00048        0.90582        0.01294      798.68549     1977.70893      107.39992     1905.00000    1.90624e+02    9.36720e+02    1.90624e+02    1.56711e-05    5.36241e-06    8.22094e-08    2.81308e-08    1.16243e+02   -6.25490e-01    3.07449e+02    2.52751e-05    8.64877e-06    1.06743e+02    8.77525e-06    3.00276e-06    4.25278e+02    3.49618e-05    1.19634e-05    6.75902e+01    5.55655e-06    1.90137e-06    5.42096e+02    4.45654e-05    1.52496e-05    4.78300e+01    3.93207e-06    1.34550e-06    1.31512e+02    1.08115e-05    3.69954e-06    0.00000e+00    0.00000e+00    0.00000e+00    1.18105e+03    7.70436e+03    3.91133e+02    9.77833e+01    3.89163e+02    8.33156e+02    3.42374e-04    7.66608e+02    1.71488e+02
  mc.p5.hnu.264.nodk            264        0.06970        0.26400        0.29036        0.00390        0.20311        0.00048        0.89384        0.01360      891.96991     1962.45500      107.10052     1927.00000    1.90317e+02    9.37013e+02    1.90317e+02    1.56760e-05    5.35943e-06    8.23678e-08    2.81606e-08    1.15901e+02   -3.05908e-01    3.07143e+02    2.52987e-05    8.64935e-06    1.06383e+02    8.76254e-06    2.99581e-06    4.23968e+02    3.49213e-05    1.19392e-05    6.72894e+01    5.54249e-06    1.89491e-06    5.40789e+02    4.45436e-05    1.52289e-05    4.77133e+01    3.93005e-06    1.34364e-06    1.58341e+02    1.30422e-05    4.45898e-06    0.00000e+00    0.00000e+00    0.00000e+00    1.37280e+03    7.53805e+03    3.85123e+02    9.62807e+01    3.46645e+02    8.00587e+02    1.93666e-04    7.55286e+02    1.75740e+02
  mc.p5.hnu.265.nodk            265        0.07023        0.26500        0.29085        0.00390        0.20461        0.00048        0.90345        0.01313      855.10562     2012.57265      109.76691     1969.00000    1.94603e+02    9.51072e+02    1.94603e+02    1.59112e-05    5.43552e-06    8.17623e-08    2.79313e-08    1.18581e+02   -3.67452e-01    3.14432e+02    2.57087e-05    8.78251e-06    1.08648e+02    8.88328e-06    3.03467e-06    4.33252e+02    3.54237e-05    1.21013e-05    6.89213e+01    5.63516e-06    1.92506e-06    5.53075e+02    4.52207e-05    1.54481e-05    4.88295e+01    3.99241e-06    1.36387e-06    1.56122e+02    1.27648e-05    4.36068e-06    0.00000e+00    0.00000e+00    0.00000e+00    1.27354e+03    7.92799e+03    4.05045e+02    1.01261e+02    4.01414e+02    8.63363e+02    4.56068e-04    8.96568e+02    1.79599e+02
  mc.p5.hnu.266.nodk            266        0.07076        0.26600        0.29111        0.00390        0.20536        0.00048        0.90957        0.01283      818.55337     2027.90767      102.51145     1967.00000    1.83405e+02    8.93092e+02    1.83405e+02    1.49412e-05    5.10046e-06    8.14656e-08    2.78098e-08    1.11967e+02   -5.43981e-01    2.96231e+02    2.41326e-05    8.23811e-06    1.02574e+02    8.35626e-06    2.85256e-06    4.09054e+02    3.33239e-05    1.13757e-05    6.49158e+01    5.28841e-06    1.80530e-06    5.21874e+02    4.25148e-05    1.45132e-05    4.61679e+01    3.76109e-06    1.28392e-06    1.32801e+02    1.08187e-05    3.69316e-06    0.00000e+00    0.00000e+00    0.00000e+00    1.14165e+03    6.76661e+03    4.11241e+02    1.02810e+02    3.49737e+02    7.82239e+02    4.56068e-04    7.68393e+02    1.85909e+02
  mc.p5.hnu.267.nodk            267        0.07129        0.26700        0.29226        0.00390        0.20623        0.00048        0.91873        0.01237      760.16116     2047.17242      102.41238     1944.00000    1.84137e+02    8.92889e+02    1.84137e+02    1.49378e-05    5.09596e-06    8.11235e-08    2.76749e-08    1.11962e+02   -9.21496e-01    2.96965e+02    2.40908e-05    8.21847e-06    1.02924e+02    8.34957e-06    2.84842e-06    4.09789e+02    3.32435e-05    1.13409e-05    6.50810e+01    5.27959e-06    1.80111e-06    5.22609e+02    4.23958e-05    1.44631e-05    4.61335e+01    3.74251e-06    1.27674e-06    1.07423e+02    8.71455e-06    2.97293e-06    0.00000e+00    0.00000e+00    0.00000e+00    1.02433e+03    6.89579e+03    4.19091e+02    1.04773e+02    3.41893e+02    7.72139e+02    9.51654e-04    7.39689e+02    1.90590e+02
  mc.p5.hnu.268.nodk            268        0.07182        0.26800        0.29234        0.00390        0.20786        0.00049        0.91516        0.01274      818.58324     2054.52399      101.96211     1957.00000    1.83162e+02    8.81190e+02    1.83162e+02    1.47421e-05    5.02626e-06    8.04866e-08    2.74417e-08    1.11583e+02   -8.74003e-01    2.95992e+02    2.38234e-05    8.12252e-06    1.02223e+02    8.22759e-06    2.80517e-06    4.07811e+02    3.28234e-05    1.11910e-05    6.48348e+01    5.21833e-06    1.77917e-06    5.20634e+02    4.19041e-05    1.42871e-05    4.59157e+01    3.69560e-06    1.26000e-06    1.09846e+02    8.84118e-06    3.01437e-06    0.00000e+00    0.00000e+00    0.00000e+00    1.10235e+03    6.94540e+03    4.22107e+02    1.05527e+02    2.97982e+02    7.11603e+02    8.44192e-04    6.16312e+02    1.94988e+02
  mc.p5.hnu.269.nodk            269        0.07236        0.26900        0.29269        0.00390        0.20822        0.00049        0.90811        0.01317      877.02832     2042.78580       95.63897     1942.00000    1.73370e+02    8.32642e+02    1.73370e+02    1.39299e-05    4.74692e-06    8.03475e-08    2.73802e-08    1.05781e+02   -9.52779e-01    2.80198e+02    2.25132e-05    7.67189e-06    9.73270e+01    7.81998e-06    2.66484e-06    3.87026e+02    3.10966e-05    1.05969e-05    6.14659e+01    4.93863e-06    1.68295e-06    4.93847e+02    3.96794e-05    1.35217e-05    4.35340e+01    3.49784e-06    1.19197e-06    9.97988e+01    8.01858e-06    2.73251e-06    0.00000e+00    0.00000e+00    0.00000e+00    1.17139e+03    5.45596e+03    4.17297e+02    1.04324e+02    3.20670e+02    7.72661e+02    4.56377e-04    7.04440e+02    2.00076e+02
