             channel           mass           mean     sqrt(mean)       full_acc          width      final_acc  final_acc_err       trig_eff   raw_trig_err raw_trig_sqerr             bg         bg_err         dt_obs     ul_acc_sig    ul_orig_sig          ul_mu          ul_br          ul_u2         ses_br         ses_u2     comb_sigma        dt_pull    high1_ul_mu    high1_ul_br    high1_ul_u2     low1_ul_mu     low1_ul_br     low1_ul_u2    high2_ul_mu    high2_ul_br    high2_ul_u2     low2_ul_mu     low2_ul_br     low2_ul_u2    high3_ul_mu    high3_ul_br    high3_ul_u2     low3_ul_mu     low3_ul_br     low3_ul_u2       dt_ul_mu       dt_ul_br       dt_ul_u2       dt_ll_mu       dt_ll_br       dt_ll_u2       err_trig       err_scat        err_muv       err_flux     err_hscale       err_hval       err_k3pi     err_hshape
  mc.p5.hnu.260.nodk            260        0.06760        0.26000        0.28931        0.00390        0.20129        0.00048        0.90528        0.01341      850.19927     1968.43970      112.15349     1816.00000    1.98068e+02    9.84005e+02    1.98068e+02    1.64621e-05    5.65011e-06    8.31138e-08    2.85262e-08    1.20610e+02   -1.26390e+00    3.19897e+02    2.65879e-05    9.12545e-06    1.10595e+02    9.19199e-06    3.15486e-06    4.40717e+02    3.66296e-05    1.25720e-05    7.01525e+01    5.83064e-06    2.00118e-06    5.62540e+02    4.67548e-05    1.60471e-05    4.97022e+01    4.13094e-06    1.41781e-06    9.70674e+01    8.06763e-06    2.76896e-06    0.00000e+00    0.00000e+00    0.00000e+00    1.27134e+03    8.62392e+03    3.87475e+02    9.68689e+01    4.35725e+02    8.81559e+02    9.80861e-02    8.81419e+02
  mc.p5.hnu.261.nodk            261        0.06812        0.26100        0.29015        0.00390        0.20231        0.00048        0.89982        0.01359      883.38120     1967.38693      107.91345     1852.00000    1.91654e+02    9.47314e+02    1.91654e+02    1.58483e-05    5.43359e-06    8.26922e-08    2.83510e-08    1.16673e+02   -9.88973e-01    3.09483e+02    2.55918e-05    8.77416e-06    1.07019e+02    8.84966e-06    3.03411e-06    4.26302e+02    3.52518e-05    1.20861e-05    6.78836e+01    5.61344e-06    1.92457e-06    5.44125e+02    4.49948e-05    1.54265e-05    4.80848e+01    3.97624e-06    1.36325e-06    1.07992e+02    8.93006e-06    3.06167e-06    0.00000e+00    0.00000e+00    0.00000e+00    1.31984e+03    7.62415e+03    3.87061e+02    9.67653e+01    4.71939e+02    8.69894e+02    1.56053e-01    8.75505e+02
  mc.p5.hnu.262.nodk            262        0.06864        0.26200        0.29038        0.00390        0.20280        0.00048        0.90702        0.01304      826.20631     1998.87308      109.47407     1844.00000    1.93760e+02    9.55404e+02    1.93760e+02    1.59837e-05    5.47449e-06    8.24920e-08    2.82539e-08    1.18252e+02   -1.30969e+00    3.13591e+02    2.58687e-05    8.86018e-06    1.08522e+02    8.95219e-06    3.06617e-06    4.32413e+02    3.56706e-05    1.22174e-05    6.87366e+01    5.67022e-06    1.94208e-06    5.51231e+02    4.54722e-05    1.55745e-05    4.87787e+01    4.02385e-06    1.37819e-06    9.30672e+01    7.67730e-06    2.62952e-06    0.00000e+00    0.00000e+00    0.00000e+00    1.21205e+03    7.87014e+03    3.99549e+02    9.98873e+01    5.35292e+02    9.11084e+02    9.46662e-02    9.56474e+02
  mc.p5.hnu.263.nodk            263        0.06917        0.26300        0.29018        0.00390        0.20350        0.00048        0.90582        0.01294      798.68549     1977.70893      106.57283     1905.00000    1.89369e+02    9.30555e+02    1.89369e+02    1.55679e-05    5.32711e-06    8.22094e-08    2.81308e-08    1.15479e+02   -6.29627e-01    3.06200e+02    2.51725e-05    8.61363e-06    1.06153e+02    8.72674e-06    2.98616e-06    4.22020e+02    3.46940e-05    1.18717e-05    6.70216e+01    5.50980e-06    1.88537e-06    5.38844e+02    4.42980e-05    1.51581e-05    4.75982e+01    3.91302e-06    1.33898e-06    1.30338e+02    1.07150e-05    3.66650e-06    0.00000e+00    0.00000e+00    0.00000e+00    1.17553e+03    7.70436e+03    3.91133e+02    9.77833e+01    3.89163e+02    8.33156e+02    3.42374e-02    7.66608e+02
  mc.p5.hnu.264.nodk            264        0.06970        0.26400        0.29036        0.00390        0.20311        0.00048        0.89384        0.01360      891.96991     1962.45500      106.24310     1927.00000    1.89016e+02    9.30609e+02    1.89016e+02    1.55688e-05    5.32280e-06    8.23678e-08    2.81606e-08    1.15109e+02   -3.08013e-01    3.04839e+02    2.51089e-05    8.58446e-06    1.05753e+02    8.71067e-06    2.97808e-06    4.20664e+02    3.46492e-05    1.18462e-05    6.69203e+01    5.51208e-06    1.88452e-06    5.36484e+02    4.41890e-05    1.51077e-05    4.74595e+01    3.90913e-06    1.33649e-06    1.57061e+02    1.29368e-05    4.42293e-06    0.00000e+00    0.00000e+00    0.00000e+00    1.36560e+03    7.53805e+03    3.85123e+02    9.62807e+01    3.46645e+02    8.00587e+02    1.93666e-02    7.55286e+02
  mc.p5.hnu.265.nodk            265        0.07023        0.26500        0.29085        0.00390        0.20461        0.00048        0.90345        0.01313      855.10562     2012.57265      108.91802     1969.00000    1.93313e+02    9.44767e+02    1.93313e+02    1.58057e-05    5.39948e-06    8.17623e-08    2.79313e-08    1.17795e+02   -3.69902e-01    3.12141e+02    2.55213e-05    8.71850e-06    1.08027e+02    8.83251e-06    3.01733e-06    4.30966e+02    3.52367e-05    1.20374e-05    6.83302e+01    5.58683e-06    1.90855e-06    5.48780e+02    4.48695e-05    1.53282e-05    4.85806e+01    3.97206e-06    1.35692e-06    1.54860e+02    1.26617e-05    4.32545e-06    0.00000e+00    0.00000e+00    0.00000e+00    1.26745e+03    7.92799e+03    4.05045e+02    1.01261e+02    4.01414e+02    8.63363e+02    4.56068e-02    8.96568e+02
  mc.p5.hnu.266.nodk            266        0.07076        0.26600        0.29111        0.00390        0.20536        0.00048        0.90957        0.01283      818.55337     2027.90767      101.57424     1967.00000    1.81996e+02    8.86233e+02    1.81996e+02    1.48264e-05    5.06128e-06    8.14656e-08    2.78098e-08    1.11109e+02   -5.48179e-01    2.94829e+02    2.40184e-05    8.19914e-06    1.01852e+02    8.29746e-06    2.83249e-06    4.06652e+02    3.31281e-05    1.13089e-05    6.44784e+01    5.25278e-06    1.79313e-06    5.18471e+02    4.22375e-05    1.44186e-05    4.57389e+01    3.72615e-06    1.27199e-06    1.31462e+02    1.07096e-05    3.65592e-06    0.00000e+00    0.00000e+00    0.00000e+00    1.13625e+03    6.76661e+03    4.11241e+02    1.02810e+02    3.49737e+02    7.82239e+02    4.56068e-02    7.68393e+02
  mc.p5.hnu.267.nodk            267        0.07129        0.26700        0.29226        0.00390        0.20623        0.00048        0.91873        0.01237      760.16116     2047.17242      101.45595     1944.00000    1.82701e+02    8.85927e+02    1.82701e+02    1.48213e-05    5.05623e-06    8.11235e-08    2.76749e-08    1.11088e+02   -9.28747e-01    2.94529e+02    2.38932e-05    8.15105e-06    1.02179e+02    8.28914e-06    2.82780e-06    4.06352e+02    3.29646e-05    1.12457e-05    6.43976e+01    5.22416e-06    1.78220e-06    5.18171e+02    4.20358e-05    1.43403e-05    4.56914e+01    3.70664e-06    1.26450e-06    1.06169e+02    8.61280e-06    2.93822e-06    0.00000e+00    0.00000e+00    0.00000e+00    1.01984e+03    6.89579e+03    4.19091e+02    1.04773e+02    3.41893e+02    7.72139e+02    9.51654e-02    7.39689e+02
  mc.p5.hnu.268.nodk            268        0.07182        0.26800        0.29234        0.00390        0.20786        0.00049        0.91516        0.01274      818.58324     2054.52399      100.97716     1957.00000    1.81685e+02    8.74085e+02    1.81685e+02    1.46232e-05    4.98573e-06    8.04866e-08    2.74417e-08    1.10684e+02   -8.81104e-01    2.93514e+02    2.36239e-05    8.05451e-06    1.01443e+02    8.16477e-06    2.78375e-06    4.04333e+02    3.25434e-05    1.10956e-05    6.43540e+01    5.17964e-06    1.76598e-06    5.16155e+02    4.15436e-05    1.41642e-05    4.55775e+01    3.66838e-06    1.25072e-06    1.08540e+02    8.73599e-06    2.97851e-06    0.00000e+00    0.00000e+00    0.00000e+00    1.09737e+03    6.94540e+03    4.22107e+02    1.05527e+02    2.97982e+02    7.11603e+02    8.44192e-02    6.16312e+02
  mc.p5.hnu.269.nodk            269        0.07236        0.26900        0.29269        0.00390        0.20822        0.00049        0.90811        0.01317      877.02832     2042.78580       94.55623     1942.00000    1.71766e+02    8.24936e+02    1.71766e+02    1.38010e-05    4.70299e-06    8.03475e-08    2.73802e-08    1.04803e+02   -9.61669e-01    2.77593e+02    2.23039e-05    7.60055e-06    9.59535e+01    7.70962e-06    2.62723e-06    3.83418e+02    3.08066e-05    1.04981e-05    6.09036e+01    4.89345e-06    1.66756e-06    4.89242e+02    3.93093e-05    1.33956e-05    4.31345e+01    3.46574e-06    1.18103e-06    9.84078e+01    7.90681e-06    2.69443e-06    0.00000e+00    0.00000e+00    0.00000e+00    1.16549e+03    5.45596e+03    4.17297e+02    1.04324e+02    3.20670e+02    7.72661e+02    4.56377e-02    7.04440e+02
